tractid00,totalpop,households,pcthhchild,pctind_info,pctind_finance,pctind_professional,pctocc_profmanage,pctcollege,pctinc_0_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_more,medhhincome,pctpoverty,pctpublicassist,units,pctown,pctrent,pctvacant,medianvalue,pctrent_0_300,pctrent_300_600,pctrent_600_800,pctrent_800_1000,pctrent_1000_1250,pctrent_1250_1500,pctrent_1500_2000,pctrent_2000_more,medianrent,pctincomerent_30_more,medianpctincomerent,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,pctsameres,pctunits_newres_2005,pctunits_newres_2000
"25017318400",4,4,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,,0,100,4,0,100,0,,0,0,0,0,100,0,0,0,,100,,,,0,100,100
"25017324100",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
"25017361300",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
"25017363101",9138,3169,51.56,4.47,9.21,19.47,64.54,80.57,.54,1.77,.44,1.42,1.17,4.23,5.52,2.18,1.67,3.22,6.94,12.53,10.95,12.72,34.71,118921,2.618891,98.8,3169,87.79,12.21,0,532800,0,10.85,23.77,21.96,13.18,9.82,6.98,13.44,961,36.7,26.6,35.68,12.14,91.24,17.87043,46.79361
"25017363102",5055,1964,43.64,3.97,6.35,19.59,56.7,59.4,2.75,3.51,2.09,2.6,1.07,2.49,10.85,7.03,1.68,7.43,7.84,6.67,7.59,9.93,26.48,82031,4.667069,99.19,2210,61.1,38.9,11.13,483900,1.96,5.89,4.06,28.01,34.69,15.58,6.94,2.88,1073,49.87,30,38.12,16.17,90.65,27.47938,70.22732
"25017363201",3100,1079,46.43,2.49,5.24,22.45,74.02,77.69,5.93,1.85,2.97,1.02,1.39,2.5,.83,.74,.46,3.34,6.86,6.02,11.96,8.16,45.97,134205,7.032258,100,1079,84.71,15.29,0,481200,22.42,5.45,24.24,6.67,6.67,3.64,24.24,6.67,696,35.15,19.9,23.98,13.43,96.87,11.19355,34.77419
"25017363202",3480,1172,51.62,3.82,7.58,22.69,76.43,86.65,1.62,2.82,0,1.62,5.97,1.28,0,.94,1.79,3.92,10.32,10.15,14.16,12.63,32.77,112256,3.132184,100,1172,93.34,6.66,0,479200,0,0,0,23.08,11.54,41.03,12.82,11.54,1344,32.05,19.200001,40.34,27.44,89.72,14.91379,36.09195
"25017364101",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
"25017338400",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
"25017354900",0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
