tractid10,totalpop,households,pcthhchild,pctind_info,pctind_finance,pctind_professional,pctocc_profmanage,pctcollege,pctinc_0_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_200K,pctinc_200K_more,pctpoverty,pctpublicassist,units,pctown,pctrent,pctvacant,pctrent_0_300,pctrent_300_600,pctrent_600_800,pctrent_800_1000,pctrent_1000_1250,pctrent_1250_1500,pctrent_1500_2000,pctrent_2000_more,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,pctsameres,pctunits_newres_2010,pctincomerent_30_more,medhhincome,medianvalue,medianrent,medianpctincomerent
"25017300100",3066,1066,28.9,.99,2.98,8.93,39.55,27.68,2.63,1.97,2.25,3.19,5.53,4.13,3.38,2.25,6.29,6.66,11.35,17.26,13.6,5.72,12.95,.84,3.522505,3.94,1157,95.59,4.41,7.87,0,0,36.36,0,11.36,38.64,13.64,0,32.48,5.69,92.39,4.500978,48.94,75435,261600,1265,30.299999
"25017301101",3971,1540,59.34,2.34,3.87,25.67,74.83,54.79,17.72,4.3,5.46,2.98,4.93,8.57,9.22,9.07,2.89,20.35,31.8,34.61,22.79,7.18,13.04,5.13,14.45905,0,1590,148.36,51.64,4.45,27.65,0,75.4,33.62,19.81,12.83,30.7,0,75.51,2.38,182.19,8.998585,63.9,67860,247600,848.5,26.05
"25017301102",5010,1734,34.21,1.95,3.54,9.98,44.59,32.38,3.11,.75,1.04,1.61,3.86,3.69,1.04,1.56,1.04,4.15,16.96,17.3,13.44,10.5,17.7,2.25,4.080816,1.79,1856,90.25,9.75,6.57,0,7.1,3.87,41.94,14.19,14.84,12.26,5.81,24.6,2.88,90.53,5.688623,35.5,90213,275300,980,24.200001
"25017310100",4773,2462,20.11,6.58,5.17,19.48,47.28,34.74,11.9,11.49,3.45,7.84,4.67,7.68,6.86,5.85,3.98,3.53,11.13,9.3,3.41,3.66,5.24,0,27.62868,7.88,2902,24.45,75.55,15.16,11.34,11.4,11.13,29.35,18.71,8.39,6.18,3.49,24.09,0,75.38,23.38837,61.99,37433,172500,906,33.400002
"25017310200",6604,2298,28.86,.84,4.55,11.05,31.06,19.15,3.83,3.79,2.61,2.52,2.52,2.18,2.92,5.74,4.4,13.75,12.18,20.54,10.66,4.35,8.01,0,5.728441,1.13,2372,67.36,32.64,3.12,0,4.83,24.03,24.03,27.76,10.08,9.25,0,30.36,2.84,79.33,4.529941,33.06,67667,231600,954,22.700001
"25017310300",6458,2324,32.58,.45,4.61,8.61,24.27,17.58,10.41,6.97,5.94,6.93,6.76,4.13,4,3.31,2.24,9.47,7.49,16.09,8.82,2.02,4.52,.9,22.37315,7.83,2525,49.7,50.3,7.96,10.56,3.35,16.11,12.59,32.66,8.19,11.88,4.67,20.26,10.13,82.2,9.195224,60.99,49231,199000,1057,40.5
"25017310400",2862,1012,30.92,3.38,3.62,7.86,15.88,6.76,9.29,4.15,6.82,6.03,4.84,6.13,5.34,1.58,9.98,14.13,7.51,7.81,5.14,1.88,4.74,4.64,25.04372,13.14,1205,48.72,51.28,16.02,3.34,26.92,19.84,6.48,15.13,17.68,10.61,0,32.05,2.43,84.23,24.84277,61.08,47614,166400,799,34.400002
"25017310500",3347,1190,27.31,1.1,3.65,5.19,37.85,16.84,6.64,2.77,6.39,6.47,11.18,1.68,4.79,1.93,3.03,7.23,17.39,15.97,4.12,5.04,4.29,1.09,19.64169,3.45,1304,51.68,48.32,8.74,0,4.06,21.73,13.43,45.41,12.72,2.65,0,24.07,13.17,80.64,14.66841,51.13,55185,216800,1059,32.700001
"25017310601",5898,2166,29.37,2.35,4.66,7.74,35.68,29.25,5.54,9.33,3.65,6.19,2.22,2.91,4.57,6.14,1.52,9.14,15.42,5.31,13.99,6.33,3.55,4.2,7.854163,.83,2223,65.14,34.86,2.56,34.59,19.32,4.86,8.11,16.76,8.24,8.11,0,37.63,2.76,91.15,3.904831,40.53,59301,248400,566,28.700001
"25017310602",5545,2274,26.93,2.05,6.6,11.36,39.3,27.13,4.79,1.36,4.4,7.39,5.15,3.08,2.64,5.72,3.03,5.1,12.8,18.51,9.5,6.46,8.71,1.36,5.574136,.62,2530,67.11,32.89,10.12,1.96,14.87,6.03,27.63,22.02,17.95,9.54,0,31.85,4.59,87.94,8.320895,43.99,67019,227300,997,24.700001
"25017310700",5023,1517,33.55,.93,2.68,9.66,24.1,12.57,9.69,9.89,4.68,7.78,6.92,6.06,3.49,4.15,2.9,6.39,16.22,14.83,2.64,2.31,2.04,0,27.51997,8.64,1653,29.2,70.8,8.23,9.31,20.3,10.61,23.09,17.5,12.94,6.24,0,32.05,9.48,80.34,8.238636,41.72,41308,223000,880,28.200001
