"Area Name-Legal/Statistical Area Description"	"Qualifying Name"	"FIPS"	"Summary Level"	"Geographic Component"	"State (Census)"	"State (FIPS)"	"County"	"County Size Code"	"County Subdivision (FIPS)"	"Census Tract"	"Male Population"	"Male Population: Below poverty level"	"Male Population: At or above poverty level"	"Female Population"	"Female Population: Below poverty level"	"Female Population: At or above poverty level"	"% Male Population: Below poverty level"	"% Male Population: At or above poverty level"	"% Female Population: Below poverty level"	"% Female Population: At or above poverty level"
Geo_NAME	Geo_QName	Geo_FIPS	Geo_SUMLEV	Geo_GEOCOMP	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUNTYSC	Geo_COUSUB	Geo_TRACT	SE_T183_001	SE_T183_002	SE_T183_003	SE_T183_004	SE_T183_005	SE_T183_006	PCT_SE_T183_002	PCT_SE_T183_003	PCT_SE_T183_005	PCT_SE_T183_006
"Census Tract 3001"	"Census Tract 3001, Middlesex County, Massachusetts"	"25017300100"	"140"	"00"	"14"	"25"	"017"	"21"	""	"300100"	1418	72	1346	1403	71	1332	5.08	94.92	5.06	94.94
"Census Tract 3011.01"	"Census Tract 3011.01, Middlesex County, Massachusetts"	"25017301101"	"140"	"00"	"14"	"25"	"017"	"21"	""	"301101"	1857	86	1771	1984	115	1869	4.63	95.37	5.8	94.2
"Census Tract 3011.02"	"Census Tract 3011.02, Middlesex County, Massachusetts"	"25017301102"	"140"	"00"	"14"	"25"	"017"	"21"	""	"301102"	2698	157	2541	2636	106	2530	5.82	94.18	4.02	95.98
"Census Tract 3021"	"Census Tract 3021, Middlesex County, Massachusetts"	"25017302100"	"140"	"00"	"14"	"25"	"017"	"21"	""	"302100"	2539	78	2461	2658	61	2597	3.07	96.93	2.29	97.71
"Census Tract 3022"	"Census Tract 3022, Middlesex County, Massachusetts"	"25017302200"	"140"	"00"	"14"	"25"	"017"	"21"	""	"302200"	45	33	12	20	0	20	73.33	26.67	0	100
"Census Tract 3101"	"Census Tract 3101, Middlesex County, Massachusetts"	"25017310100"	"140"	"00"	"14"	"25"	"017"	"21"	""	"310100"	1966	577	1389	1915	706	1209	29.35	70.65	36.87	63.13
"Census Tract 3102"	"Census Tract 3102, Middlesex County, Massachusetts"	"25017310200"	"140"	"00"	"14"	"25"	"017"	"21"	""	"310200"	2896	274	2622	2994	384	2610	9.46	90.54	12.83	87.17
"Census Tract 3103"	"Census Tract 3103, Middlesex County, Massachusetts"	"25017310300"	"140"	"00"	"14"	"25"	"017"	"21"	""	"310300"	2838	386	2452	3274	611	2663	13.6	86.4	18.66	81.34
"Census Tract 3104"	"Census Tract 3104, Middlesex County, Massachusetts"	"25017310400"	"140"	"00"	"14"	"25"	"017"	"21"	""	"310400"	1712	330	1382	1834	572	1262	19.28	80.72	31.19	68.81
"Census Tract 3105"	"Census Tract 3105, Middlesex County, Massachusetts"	"25017310500"	"140"	"00"	"14"	"25"	"017"	"21"	""	"310500"	1639	204	1435	1486	235	1251	12.45	87.55	15.81	84.19
"Census Tract 3106.01"	"Census Tract 3106.01, Middlesex County, Massachusetts"	"25017310601"	"140"	"00"	"14"	"25"	"017"	"21"	""	"310601"	2334	99	2235	2623	190	2433	4.24	95.76	7.24	92.76
"Census Tract 3106.02"	"Census Tract 3106.02, Middlesex County, Massachusetts"	"25017310602"	"140"	"00"	"14"	"25"	"017"	"21"	""	"310602"	2658	149	2509	2791	87	2704	5.61	94.39	3.12	96.88
"Census Tract 3107"	"Census Tract 3107, Middlesex County, Massachusetts"	"25017310700"	"140"	"00"	"14"	"25"	"017"	"21"	""	"310700"	1898	300	1598	2159	577	1582	15.81	84.19	26.73	73.27
"Census Tract 3108"	"Census Tract 3108, Middlesex County, Massachusetts"	"25017310800"	"140"	"00"	"14"	"25"	"017"	"21"	""	"310800"	603	179	424	472	206	266	29.68	70.32	43.64	56.36
"Census Tract 3110"	"Census Tract 3110, Middlesex County, Massachusetts"	"25017311000"	"140"	"00"	"14"	"25"	"017"	"21"	""	"311000"	1134	575	559	1388	802	586	50.71	49.29	57.78	42.22
"Census Tract 3111"	"Census Tract 3111, Middlesex County, Massachusetts"	"25017311100"	"140"	"00"	"14"	"25"	"017"	"21"	""	"311100"	1244	367	877	1215	442	773	29.5	70.5	36.38	63.62
"Census Tract 3112"	"Census Tract 3112, Middlesex County, Massachusetts"	"25017311200"	"140"	"00"	"14"	"25"	"017"	"21"	""	"311200"	1760	454	1306	1614	532	1082	25.8	74.2	32.96	67.04
"Census Tract 3113"	"Census Tract 3113, Middlesex County, Massachusetts"	"25017311300"	"140"	"00"	"14"	"25"	"017"	"21"	""	"311300"	1885	186	1699	1977	273	1704	9.87	90.13	13.81	86.19
"Census Tract 3114"	"Census Tract 3114, Middlesex County, Massachusetts"	"25017311400"	"140"	"00"	"14"	"25"	"017"	"21"	""	"311400"	3035	277	2758	2727	280	2447	9.13	90.87	10.27	89.73
"Census Tract 3115"	"Census Tract 3115, Middlesex County, Massachusetts"	"25017311500"	"140"	"00"	"14"	"25"	"017"	"21"	""	"311500"	1358	97	1261	1539	102	1437	7.14	92.86	6.63	93.37
