tractid00,totalpop,households,pcthhchild,pctind_finance,pctind_professional,pctocc_profmanage,pctcollege,pctinc_0_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_more,medhhincome,pctpoverty,pctpublicassist,units,pctown,pctrent,pctvacant,medianvalue,pctrent_0_300,pctrent_300_600,pctrent_600_800,pctrent_800_1000,pctrent_1000_1250,pctrent_1250_1500,pctrent_1500_2000,pctrent_2000_more,medianrent,pctincomerent_30_more,medianpctincomerent,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,pctsameres,pctunits_newres
"25017300100",2845,978,33.11,1.97,6.32,33.81579,25.52,2.24,1.33,2.04,2.76,2.65,2.14,4.39,3.67,3.67,9.29,7.35,21.63,16.02,10.51,10.31,85296,3.72,.82,1011,91.92,8.08,3.26,199542,0,21.82,21.82,23.64,20,9.09,3.64,0,825,19.67,23.5,20.57,4.54,75.74,4.71
"25017301101",3869,1381,35.56,4.32,9.88,39.7543,32.55,3.61,2.02,2.75,2.46,1.95,1.16,2.17,3.61,4.48,7.73,10.26,20.66,13.73,9.54,13.87,83293,3.48,3.61,1419,78.86,21.14,2.68,213476,9.81,18.49,15.85,26.42,15.09,7.55,6.79,0,841,22.61,20.1,21.89,2.58,65.64,13.61
"25017301102",5329,1729,39.76,5.31,10.93,38.5214,24.99,2.05,1.29,2.34,1.58,2.52,4.1,3.98,3.22,2.58,2.99,10.83,22.95,15.22,10.54,13.99,88044,3.8,1.41,1765,88.78,11.22,2.04,216317,0,8.75,9.38,30,30.63,13.12,7.5,.62,866,20.74,19.799999,23.71,1.68,75.98,6.37
"25017302100",6303,2029,25.61,5.06,12.32,35.80028,19.62,4.21,2.08,1.98,2.38,3.12,3.97,4.66,3.92,3.47,7.34,11.06,16.56,13.14,9.67,12.34,76514,1.92,.79,2116,71.76,28.24,4.11,203871,10.05,19.56,16.82,17.37,15.9,9.14,8.78,2.19,828,21.34,21.4,20.65,1.67,58.91,20.01
"25017302200",70,38,18.46,0,0,0,18.87,38.64,20.45,18.18,15.91,9.09,0,0,0,0,0,0,0,0,0,0,3494,0,31.82,40,2.63,97.37,5,304386,0,46.88,50,3.12,0,0,0,0,656,100,50.099998,0,0,15.38,76.19
"25017310100",3881,1930,24.68,8.01,12.38,27.21854,16.88,22.44,11.06,9.66,5.97,5.82,6.65,5.45,4.16,3.27,4.57,5.66,7.74,2.7,1.71,3.12,25824,34.53,8.99,2025,7.62,92.38,4.69,140965,19.94,23.75,17.48,12.32,12.04,7.45,6.78,.28,702,47,29.6,100,0,34.28,67.52
"25017310200",6070,2194,31.1,3.17,13.03,34.99837,21.04,6.49,3.22,2.95,2.99,3.36,3.72,4.54,3.76,3.9,11.25,15.92,18.41,8.48,5.58,5.4,63403,7.97,2.68,2288,55.42,44.58,4.11,166263,2.21,14.11,14.11,27.58,25.58,12,4.42,0,943,36.93,24.4,15.81,3.84,52.3,34.77
"25017310300",6157,2329,33.56,4.03,10.18,24.94874,12.83,9.34,4.69,4.52,2.9,3.03,3.67,5.2,5.29,5.25,10.03,16.04,14.8,7.04,4.1,4.1,56479,14.23,5.16,2414,44.05,55.95,3.52,149217,7.79,16.74,14.74,25.62,21.91,9.65,3.55,0,897,30.31,21.5,19.2,7.16,49.54,39.29
"25017310400",3581,1157,37.75,3.67,9.86,22.03024,4.37,10.81,5.28,4.41,5.36,7.01,8.74,8.65,4.58,2.68,7.7,10.47,11.94,6.57,3.63,2.16,39790,24.12,8.74,1209,36.91,63.09,4.3,129060,5.8,15.56,14.29,31.26,24.89,7.64,.57,0,885,38.6,27,27.88,3.33,46.58,47.96
"25017310500",3353,1172,26.3,3.73,10.42,24.08027,15.78,8.61,4.31,3.89,3.72,3.38,2.96,5.24,5.15,5.15,9.88,11.57,16.05,10.3,6.59,3.12,57281,6.58,4.22,1223,44.03,55.97,4.17,170456,2.85,12.68,12.36,26.62,29.64,13.47,2.38,0,963,34.5,24.799999,26.82,7.87,46.33,38.48
