Statefp10,Countyfp10,Tractce10,Geoid10,Name10,Namelsad10,Mtfcc10,Aland10,Awater10,Intptlat10,Intptlon10,Area sqft,Area acres,Pop100,Hu100,Logpl94171,Logsf1,Logacs0610,Logsf1c,Shape area,Shape len
25,021,418003,25021418003,4180.03,Census Tract 4180.03,G5020,1705668.00000000,2936.00000000,+42.2350240,-071.0200129,18389900.39000000,422.17400000,2481,1350,0141872,123764,0003690,0123764,1.70848448042e+006,6.27418503426e+003,
25,021,417701,25021417701,4177.01,Census Tract 4177.01,G5020,1543651.00000000,12275.00000000,+42.2523398,-071.0007484,16746649.09000000,384.45020000,5417,2983,0141838,123730,0003683,0123730,1.55582083616e+006,6.22913791303e+003,
25,021,417702,25021417702,4177.02,Census Tract 4177.02,G5020,1685529.00000000,317947.00000000,+42.2582818,-070.9887207,18142381.08000000,416.49180000,2765,1109,0141843,123735,0003684,0123735,1.68548909539e+006,8.54249828582e+003,
25,021,418102,25021418102,4181.02,Census Tract 4181.02,G5020,771203.00000000,2371.00000000,+42.2470410,-071.0211009,8326047.44000000,191.13970000,3377,1676,0141882,123774,0003693,0123774,7.73518205207e+005,4.54029610061e+003,
25,021,418004,25021418004,4180.04,Census Tract 4180.04,G5020,1316466.00000000,0.00000000,+42.2383744,-071.0104974,14169248.82000000,325.28120000,4280,1987,0141874,123766,0003691,0123766,1.31637158016e+006,5.85449736606e+003,
25,021,412300,25021412300,4123,Census Tract 4123,G5020,7198427.00000000,87984.00000000,+42.2148462,-071.1721804,78424419.94000000,1800.37690000,4712,1638,0141707,123599,0003656,0123599,7.28589615680e+006,1.33104401080e+004,
25,021,412200,25021412200,4122,Census Tract 4122,G5020,11715496.00000000,256485.00000000,+42.2354674,-071.2197246,128855713.61000000,2958.12010000,3572,1494,0141704,123596,0003655,0123596,1.19711354711e+007,1.61416293598e+004,
25,021,404400,25021404400,4044,Census Tract 4044,G5020,6864636.00000000,595750.00000000,+42.2881888,-071.2954958,80297098.45999999,1843.36770000,6276,1793,0141623,123515,0003638,0123515,7.45987433979e+006,1.46075152512e+004,
25,021,404301,25021404301,4043.01,Census Tract 4043.01,G5020,3950173.00000000,4734.00000000,+42.3124083,-071.3081154,42567225.89000000,977.20900000,5508,1884,0141613,123505,0003636,0123505,3.95464050813e+006,9.34995030927e+003,
25,021,416102,25021416102,4161.02,Census Tract 4161.02,G5020,13311437.00000000,182257.00000000,+42.2259907,-071.1000663,145234039.72999999,3334.11480000,3810,1027,0141773,123665,0003671,0123665,1.34927376950e+007,1.81432619813e+004,
25,021,422302,25021422302,4223.02,Census Tract 4223.02,G5020,6102195.00000000,258115.00000000,+42.1891541,-070.9392437,68456654.91000000,1571.54860000,6590,3176,0141974,123866,0003713,0123866,6.35985683060e+006,9.85061407879e+003,
