"tractid10","totalpop_90","households_90","units_90","medianhhincome_90","medianvalue_90","medianrent_90","medianpctincomerent_90","pcthhchild_90","pctind_finance_90","pctind_professional_90","pctocc_profmanage_90","pctcollege_90","pctinc_0_10k_90","pctinc_10k_15k_90","pctinc_15k_20k_90","pctinc_20k_25k_90","pctinc_25k_30k_90","pctinc_30k_35k_90","pctinc_35k_40k_90","pctinc_40k_45k_90","pctinc_45k_50k_90","pctinc_50k_60k_90","pctinc_60k_75k_90","pctinc_75k_100k_90","pctinc_100k_125k_90","pctinc_125k_150k_90","pctinc_150k_more_90","pctpoverty_90","pctpublicassist_90","pctown_90","pctrent_90","pctvacant_90","pctrent_0_300_90","pctrent_300_600_90","pctrent_600_750_90","pctrent_750_1000_90","pctrent_1000_more_90","pctincomerent_30_more_90","pctinc_mortgage_30_more_90","pctinc_nomortgage_30_more_90","pctsameres_90","pctunits_newres_90","totalpop_00","households_00","units_00","medianhhincome_00","medianvalue_00","medianrent_00","medianpctincomerent_00","pcthhchild_00","pctind_finance_00","pctind_professional_00","pctocc_profmanage_00","pctcollege_00","pctinc_0_10k_00","pctinc_10k_15k_00","pctinc_15k_20k_00","pctinc_20k_25k_00","pctinc_25k_30k_00","pctinc_30k_35k_00","pctinc_35k_40k_00","pctinc_40k_45k_00","pctinc_45k_50k_00","pctinc_50k_60k_00","pctinc_60k_75k_00","pctinc_75k_100k_00","pctinc_100k_125k_00","pctinc_125k_150k_00","pctinc_150k_more_00","pctpoverty_00","pctpublicassist_00","pctown_00","pctrent_00","pctvacant_00","pctrent_0_300_00","pctrent_300_600_00","pctrent_600_800_00","pctrent_800_1000_00","pctrent_1000_1250_00","pctrent_1250_1500_00","pctrent_1500_2000_00","pctrent_2000_more_00","pctincomerent_30_more_00","pctinc_mortgage_30_more_00","pctinc_nomortgage_30_more_00","pctsameres_00","pctunits_newres_00","totalpop_10","households_10","units_10","medianhhincome_10","medianvalue_10","medianrent_10","medianpctincomerent_10","pcthhchild_10","pctind_finance_10","pctind_professional_10","pctocc_profmanage_10","pctcollege_10","pctinc_0_10k_10","pctinc_10k_15k_10","pctinc_15k_20k_10","pctinc_20k_25k_10","pctinc_25k_30k_10","pctinc_30k_35k_10","pctinc_35k_40k_10","pctinc_40k_45k_10","pctinc_45k_50k_10","pctinc_50k_60k_10","pctinc_60k_75k_10","pctinc_75k_100k_10","pctinc_100k_125k_10","pctinc_125k_150k_10","pctinc_150k_more_10","pctpoverty_10","pctpublicassist_10","pctown_10","pctrent_10","pctvacant_10","pctrent_0_300_10","pctrent_300_600_10","pctrent_600_800_10","pctrent_800_1000_10","pctrent_1000_1250_10","pctrent_1250_1500_10","pctrent_1500_2000_10","pctrent_2000_more_10","pctincomerent_30_more_10","pctinc_mortgage_30_more_10","pctinc_nomortgage_30_more_10","pctsameres_10","pctunits_newres_10"
25017300100,2711.19650062919,890.093185245991,956.945871010423,86889.2079977685,236525.838869375,870.090577408617,27.8007178228896,40.728992,1.5443625,20.561522,30.105671,19.745304,1.79376786,2.6904764,2.6905441,2.5786526,2.6906242,1.905955,1.7939588,3.8113558,2.690464,7.7348869,10.874789,19.730864,17.040565,11.322995,9.7537613,2.5195382,3.8113499,89.460838,10.539157,6.9860477,0.0020586012,6.2512364,16.664627,29.162525,47.919552,21.282911,29.069229,16.794224,69.174767,32.960602,2838.84270274639,975.888712227345,1008.81653690338,85295.7014944678,199543.78371215,825.00809915866,23.4982733522241,36.783009,1.9740158,6.3162923,33.816628,25.522631,2.2496929,1.3293473,2.045095,2.7606916,2.6583819,2.1470921,4.3963971,3.6809728,3.681102,9.304472,7.3623981,21.676746,16.052828,10.531552,10.32773,5.0263863,0.81841302,91.920341,8.0796547,3.2640083,0.0049807508,21.816492,21.815151,23.637774,19.997509,9.0901251,3.6379657,0,15.192494,26.268122,20.914455,75.734695,25.56472,3066,1066,1157,76189.35,264216,1277.65,30.299999,32.7058,2.975496,8.926488,39.55659,27.67733,2.626642,1.969981,2.251407,3.189493,5.534709,4.12758,3.377111,2.251407,6.285178,6.660413,11.35084,17.26079,13.60225,5.722326,13.7898677,3.522505,3.939962,33.23549,1.532942,7.865169,0,0,36.36364,0,11.36364,38.63636,13.63636,0,48.93617,43.21149,22.9249,92.39095,4.500978
25017301101,4418.90934535861,1436.0429366529,1505.22208461165,88128.8819211435,260759.542614892,1058.99369047299,29.2999479222289,42.150517,4.5274997,21.266798,32.517494,24.807379,2.06444373,2.0645285,2.4628973,3.6217773,2.9336965,2.6438997,3.1871192,2.0284193,1.992098,4.5638638,12.929903,19.268425,18.254141,12.060778,12.096845,3.0209587,1.992204,83.339951,16.660051,4.5959473,4.2957988,8.8304634,12.410645,20.525349,53.937748,44.7812,26.405771,18.882767,65.836105,38.608662,3862.45129790902,1378.65674059093,1416.59328432381,83293.2192962399,213474.247611784,840.999474472569,20.1001066092444,40.351494,4.3240566,9.8767443,39.753624,32.549648,3.6204169,2.0274408,2.7515531,2.4620163,1.9551811,1.1586876,2.1725793,3.6205716,4.4894133,7.7481771,10.282088,20.709736,13.758395,9.5583963,13.902583,5.1951222,3.6202621,78.857315,21.142687,2.6780059,9.8110104,18.490671,15.849245,26.415007,15.094496,7.5472188,6.7923532,0,21.917532,26.315784,15.334202,65.641891,41.34515,3971,1540,1590,68538.6,250076,856.985,26.05,38.21848,2.912621,11.1165,39.90291,29.00875,7.207792,1.818182,1.948052,2.077922,1.493507,2.597403,4.480519,5.38961,2.012987,8.701299,15.58442,17.79221,13.18182,5,10.714286,5.112062,0,31.21693,7.583774,3.144654,13.99317,0,39.24915,19.11263,7.167235,8.191126,12.28669,0,30.23256,42.94004,11.21951,93.61378,5.442177
25017301102,4069.93661087938,1322.68553562544,1386.39304432971,88120.7152739344,260760.059328258,1058.97840066406,29.2982456467003,42.147522,4.5280509,21.265419,32.516518,24.805107,2.0644792,2.0647256,2.4630394,3.6217163,2.9339082,2.6449928,3.1877227,2.028897,1.9937989,4.5671275,12.928329,19.267712,18.250647,12.05889,12.095681,3.0220363,1.9933491,83.333107,16.666889,4.5961313,4.2924962,8.8285952,12.412648,20.529158,53.937107,44.777809,26.407581,18.886103,65.827454,38.615868,5329.21428638697,1729.07343564928,1765.09407946467,88038.6063002159,216310.770312405,865.948448554149,19.8022945037028,42.273636,5.305563,10.930392,38.51992,24.982025,2.0252743,1.2727712,2.3132968,1.5620754,2.4872782,4.0483418,3.9332669,3.1813965,2.545341,2.9522576,10.699614,22.669209,15.036822,10.410299,13.821975,4.9340487,1.3877615,88.978149,11.253603,2.0407252,0.012975217,8.7647629,9.3853788,29.983303,30.605345,13.119609,7.5014057,0.62698567,20.103861,27.872845,11.218554,75.968132,26.732595,5010,1734,1856,91115.13,278053,989.8,24.200001,37.72837,3.544304,9.981916,44.59313,32.38687,3.114187,0.7497116,1.038062,1.614763,3.863899,3.690888,1.038062,1.557093,1.038062,4.152249,16.95502,17.30104,13.43714,10.49596,19.953865,4.071856,1.787774,31.23752,3.373254,6.573276,0,7.096774,3.870968,41.93548,14.19355,14.83871,12.25806,5.806452,35.50296,30.10164,15.73427,90.53339,5.688623
25017310100,3340,1597,1898,21274.0000982135,0,629.000002903838,31.1000010306728,38.286034,4.7497878,20.949957,17.98134,20.811052,18.5973701,15.466499,13.838447,6.9505324,5.1346273,4.5710707,4.007514,4.6963058,3.6318097,4.6336881,8.2654982,4.0701313,2.3794615,1.7532874,2.003757,29.9494,22.73012,5.07201,94.927994,15.858799,22.031662,22.559366,12.26913,20.580475,22.559366,51.846966,,,29.101563,68.190353,3881,1930,2025,25824,140965,702,29.6,40.713982,8.0132446,12.384106,27.218542,16.880093,22.383419,11.036269,9.6373053,5.958549,5.8031087,6.6321244,5.4404144,4.1450777,3.2642486,4.5595856,5.6476684,7.7202072,2.6943004,1.7098446,3.1088083,33.058491,8.9637308,7.6165805,92.383423,4.6913581,19.943977,23.753502,17.478992,12.32493,12.044818,7.4509802,6.7787113,0.28011206,47.055523,100,,34.278564,72.435234,4773,2462,2902,37807.33,174225,915.06,33.400002,36.5575,5.168731,19.47886,47.28748,34.74576,11.90089,11.49472,3.452478,7.839155,4.670999,7.676686,6.864338,5.848903,3.980504,3.533712,11.12916,9.301381,3.41186,3.655565,5.239643,26.31469,7.879773,13.61683,42.07193,15.16196,11.34409,11.39785,11.12903,29.35484,18.70968,8.387096,6.182796,3.494624,61.98925,26.41166,0,75.38,23.38837
25017310200,6068.00825595856,2140.61811888218,2300.75544857979,71572.3417330368,232805.577863106,1103.01318036115,29.0989786343997,42.376965,6.7504215,21.750732,21.946367,13.283839,2.58602891,6.6035137,5.3107486,1.5246242,3.3713286,3.1405602,3.3252375,3.1408968,2.5865974,8.543572,12.977697,21.062738,11.179986,5.3603325,7.716475,8.9620228,9.7435045,54.190449,45.809547,6.9602265,2.2822511,7.0536456,12.13612,20.33058,58.197403,45.157753,23.496246,15.336026,57.773869,48.588379,5999.41552734375,2168.4873046875,2261.39404296875,63402.9964413214,166262.992084231,942.999970428395,24.3999998439918,38.195431,3.1668298,13.026445,34.998367,21.036585,6.5177751,3.2360981,2.962625,3.008204,3.3728349,3.7374659,4.5578852,3.7830443,3.919781,11.303555,15.998177,18.505013,8.5232449,5.6061983,5.423883,10.840198,2.6891522,55.423882,44.576115,4.1083918,2.2105262,14.105263,14.105263,27.578945,25.578947,11.999999,4.4210525,0,36.809814,20.543808,16.666666,52.298954,53.372829,6604,2298,2372,68343.67,233916,963.54,22.700001,36.09165,4.545455,11.05063,31.05607,19.15353,3.829417,3.785901,2.610966,2.523934,2.523934,2.175805,2.915579,5.744125,4.395126,13.75109,12.18451,20.5396,10.66144,4.35161,8.006963,5.602665,1.131419,24.01489,11.63512,3.11973,0,4.834254,24.03315,24.03315,27.76243,10.08287,9.254144,0,33.06667,39.56229,12.22222,79.33071,4.529941
25017310300,5657.75226211548,2185.3359618187,2346.11174583435,60043.8724961393,198700.695411909,1050.04175299963,24.6000788658574,40.281105,3.0205722,23.42906,19.118799,12.969357,4.5426037,6.0879431,6.1786056,4.8154445,3.1352029,5.4969773,5.2708435,4.0910001,2.2730098,8.2679186,15.903193,16.957811,7.4194837,5.413147,4.4637074,10.680409,7.6790404,47.317543,52.682457,6.8535657,4.8092203,9.1716948,12.643099,21.190468,52.185886,33.105679,43.071247,20.864107,50.687077,54.743393,6105.7412109375,2309.6103515625,2393.90283203125,56479.0018146703,149217.001765766,896.999992678316,21.5000005698848,40.68531,4.0328093,10.184553,24.948736,12.830088,9.4031773,4.7230573,4.5513101,2.9197083,3.0485187,3.6925721,5.2382998,5.3241735,5.2812366,10.090168,16.144268,14.899098,7.0845857,4.1219411,4.1219411,16.192951,5.195363,44.053242,55.946762,3.5211267,7.79321,16.743828,14.737654,25.617283,21.91358,9.6450615,3.5493829,0,30.314657,27.743273,23.255814,49.540474,54.701588,6458,2324,2525,49723.31,200990,1067.57,40.5,37.45105,4.611887,8.60669,24.26112,17.58603,10.41308,6.97074,5.938038,6.927711,6.755594,4.130809,4.001721,3.313253,2.237521,9.466437,7.487091,16.09294,8.820998,2.022375,5.4216865,22.18953,7.831326,17.90975,18.12684,7.960396,10.56338,3.34507,16.10916,12.58803,32.65845,8.18662,11.8838,4.665493,60.9923,34.36123,24.68354,82.19854,9.195224
25017310400,3540,1163,1286,48694.0002267491,182872.000851564,1030.00000479631,27,46.158791,4.3859649,18.421053,13.476874,4.3501902,7.7386071,6.4488392,6.2768703,6.1908855,7.2227001,5.3310404,2.3215821,3.8693035,6.0189166,11.4359417,12.381771,13.843508,5.5030093,3.0094583,1.977644,25.448336,16.766981,35.511608,64.488396,9.5645409,6.9199457,10.583447,11.940298,19.945726,50.746269,42,23.497269,23.728813,45.344387,58.211521,3581,1157,1209,39790,129060,885,27,42.879799,3.6717062,9.8632107,22.030237,4.3710022,10.803802,5.2722559,4.4079518,5.3586864,7.0008645,8.7294731,8.6430426,4.5808125,2.6793432,7.6923075,10.458081,11.927399,6.5687122,3.6300778,2.1607606,25.188496,8.7294731,36.905792,63.094208,4.3010755,5.7991514,15.558699,14.285714,31.258841,24.893917,7.6379066,0.56577086,0,38.493149,38.818565,11.827957,46.582901,63.699223,2862,1012,1205,48090.14,168064,806.99,34.400002,35.82996,3.616352,7.861635,15.8805,6.76275,9.288538,4.150198,6.818182,6.027668,4.841897,6.126482,5.335968,1.581028,9.980237,14.13043,7.509881,7.806324,5.13834,1.87747,9.387352,25.01747,13.14229,17.22572,18.13417,16.0166,3.339882,26.91552,19.84283,6.483301,15.1277,17.68173,10.60904,0,61.079,38.72549,14.11765,84.22901,24.84277
25017310500,3377.21972036362,1154.6662529707,1207.35639107227,52262.1531721003,216654.807755226,1052.03489713462,27.1982943351862,38.731823,7.0477481,25.631813,20.613468,12.881661,9.7222801,4.0486498,3.8765638,2.9289005,4.3037357,6.8856416,5.8543611,4.7363758,5.249723,8.5222661,9.2211065,12.499206,9.4810429,6.7200832,6.5513492,15.297174,3.1913075,44.40448,55.595524,4.3647628,3.3034987,8.0195131,12.891525,21.695375,54.090416,43.183582,21.967974,0.058137666,46.742348,49.077114,3329.52807617188,1163.79565429688,1214.43872070312,57281.0015841917,170455.994527287,963.000009985146,24.7999997662171,36.919212,3.7346711,10.423635,24.080267,15.786801,8.7030716,4.3515358,3.9249146,3.7542665,3.4129694,2.9863482,5.2901025,5.2047782,5.2047782,9.9829359,11.689421,16.211605,10.409556,6.6552901,3.1569967,13.092752,4.2662115,44.027306,55.972698,4.1700735,2.8526149,12.678288,12.361331,26.624407,29.6355,13.470681,2.3771791,0,34.603657,38.333332,26.213594,46.330708,55.546074,3347,1190,1304,55736.85,218968,1069.59,32.700001,39.73913,3.646409,5.19337,37.8453,16.83756,6.638656,2.773109,6.386555,6.470588,11.17647,1.680672,4.789916,1.932773,3.02521,7.226891,17.39496,15.96639,4.117647,5.042017,5.378151,18.01613,3.445378,20.09147,18.78471,8.742332,0,4.063604,21.73145,13.42756,45.40636,12.72085,2.650177,0,51.13044,35.3222,41.32653,80.63725,14.66841
25017310601,7035.1445043087,2573.19084894657,2685.69086331129,69519.5649490072,241529.174759047,1046.00804114578,24.4991516324371,36.500103,5.1805754,27.057644,26.411566,17.442862,3.7964783,3.533962,3.9005241,4.0058188,2.0952191,3.7953749,4.9199028,3.0891182,4.6600623,8.4305136,11.729589,21.838966,10.34813,6.6533613,7.9616842,5.592299,6.6484756,53.536907,46.463093,3.7630403,5.0212436,9.1754971,12.175039,20.484049,53.086456,33.704853,22.530687,10.04587,51.295624,56.430199,5382.41710698605,1912.59173679352,1938.56030708551,70952.0144062584,201193.928162394,848.088492805814,22.2012869875204,37.187553,4.8925033,8.1779041,32.037861,19.943018,6.2598553,3.0782866,2.7673891,4.5904374,3.9649916,2.2452853,4.4867568,3.7574949,3.7057395,9.5479946,7.5204287,16.283756,11.953785,8.1453762,12.006407,5.3584452,2.1389956,57.380135,42.619064,1.3395803,6.5747023,17.484972,16.119892,30.90346,21.71837,5.7089324,1.3656152,0.12402122,22.157061,28.792507,24.243479,48.888325,56.758297,5898,2166,2223,59894.01,250884,571.66,28.700001,37.64399,4.656863,7.738095,35.67927,29.25994,5.540166,9.325947,3.647276,6.186519,2.216067,2.908587,4.570637,6.140351,1.523546,9.141274,15.42013,5.309326,13.98892,6.325023,7.756233,7.341472,0.8310249,25.62659,13.71231,2.564103,34.59459,19.32432,4.864865,8.108109,16.75676,8.243243,8.108109,0,40.5298,53.47432,9.330144,91.15075,3.904831
25017310602,3338.36973282695,1221.06402298808,1274.45298998058,69510.0119430446,241519.593599186,1046.01178142169,24.4998849232669,36.500305,5.1808538,27.059914,26.409876,17.443947,3.7964114,3.5350974,3.901535,4.0059357,2.0949838,3.7965701,4.9220619,3.0901215,4.6599674,8.4302668,11.730886,21.837242,10.344926,6.6516972,7.9611025,5.5925694,6.6503868,53.529305,46.470695,3.7630935,5.0204668,9.1749001,12.175083,20.484108,53.087837,33.707256,22.52137,10.049935,51.293491,56.430656,5596.60498046875,2206.71850585938,2278.54638671875,63113.9970337475,181685.000835015,901.000007873633,21.6000006363379,36.32317,6.1073823,6.6778517,30.838926,21.376812,3.8426759,2.169982,3.074141,3.6618443,3.7070522,3.4810126,7.5045204,6.3743215,5.4249544,8.273056,11.980107,18.535261,9.0867987,5.5153704,8.0018082,4.2067738,1.5370705,56.419525,43.580467,3.1523645,3.6836405,15.276273,14.842903,31.310944,21.885157,8.4507046,4.1170096,0.32502711,33.298756,27.355623,6.25,58.267712,44.891499,5545,2274,2530,67689.19,229573,1006.97,24.700001,34.95668,6.60323,11.36102,39.30219,27.13445,4.793316,1.363237,4.397537,7.387863,5.145119,3.078276,2.638522,5.716799,3.034301,5.101143,12.79683,18.51363,9.498681,6.46438,10.070361,5.41028,0.6156552,28.47015,13.95522,10.11858,1.963534,14.86676,6.030856,27.62973,22.01964,17.95231,9.537167,0,43.98396,44.91682,15.76577,87.943,8.320895
