tractid10,totalpop,households,units,medianhhincome,medianvalue,medianrent,medianpctincomerent,pcthhchild,pctind_finance,pctind_professional,pctocc_profmanage,pctcollege,pctinc_0_10k,pctinc_10k_15k,pctinc_15k_20k,pctinc_20k_25k,pctinc_25k_30k,pctinc_30k_35k,pctinc_35k_40k,pctinc_40k_45k,pctinc_45k_50k,pctinc_50k_60k,pctinc_60k_75k,pctinc_75k_100k,pctinc_100k_125k,pctinc_125k_150k,pctinc_150k_200k,pctinc_200k_more,pctpoverty,pctpublicassist,pctown,pctrent,pctvacant,pctrent_0_300,pctrent_300_600,pctrent_600_800,pctrent_800_1000,pctrent_1000_1250,pctrent_1250_1500,pctrent_1500_2000,pctrent_2000_more,pctincomerent_30_more,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,pctsameres,pctunits_newres
"25017300100",3066,1066,1157,75435,261600,1265,30.299999,32.7058,2.975496,8.926488,39.55659,27.67733,2.626642,1.969981,2.251407,3.189493,5.534709,4.12758,3.377111,2.251407,6.285178,6.660413,11.35084,17.26079,13.60225,5.722326,12.94559,.8442777,3.522505,3.939962,33.23549,1.532942,7.865169,0,0,36.36364,0,11.36364,38.63636,13.63636,0,48.93617,43.21149,22.9249,92.39095,4.500978
"25017301101",3971,1540,1590,67860,247600,848.5,26.05,38.21848,2.912621,11.1165,39.90291,29.00875,7.207792,1.818182,1.948052,2.077922,1.493507,2.597403,4.480519,5.38961,2.012987,8.701299,15.58442,17.79221,13.18182,5,7.142857,3.571429,5.112062,0,31.21693,7.583774,3.144654,13.99317,0,39.24915,19.11263,7.167235,8.191126,12.28669,0,30.23256,42.94004,11.21951,93.61378,5.442177
"25017301102",5010,1734,1856,90213,275300,980,24.200001,37.72837,3.544304,9.981916,44.59313,32.38687,3.114187,.7497116,1.038062,1.614763,3.863899,3.690888,1.038062,1.557093,1.038062,4.152249,16.95502,17.30104,13.43714,10.49596,17.70473,2.249135,4.071856,1.787774,31.23752,3.373254,6.573276,0,7.096774,3.870968,41.93548,14.19355,14.83871,12.25806,5.806452,35.50296,30.10164,15.73427,90.53339,5.688623
"25017310100",4773,2462,2902,37433,172500,906,33.400002,36.5575,5.168731,19.47886,47.28748,34.74576,11.90089,11.49472,3.452478,7.839155,4.670999,7.676686,6.864338,5.848903,3.980504,3.533712,11.12916,9.301381,3.41186,3.655565,5.239643,0,26.31469,7.879773,13.61683,42.07193,15.16196,11.34409,11.39785,11.12903,29.35484,18.70968,8.387096,6.182796,3.494624,61.98925,26.41166,0,75.38,23.38837
"25017310200",6604,2298,2372,67667,231600,954,22.700001,36.09165,4.545455,11.05063,31.05607,19.15353,3.829417,3.785901,2.610966,2.523934,2.523934,2.175805,2.915579,5.744125,4.395126,13.75109,12.18451,20.5396,10.66144,4.35161,8.006963,0,5.602665,1.131419,24.01489,11.63512,3.11973,0,4.834254,24.03315,24.03315,27.76243,10.08287,9.254144,0,33.06667,39.56229,12.22222,79.33071,4.529941
"25017310300",6458,2324,2525,49231,199000,1057,40.5,37.45105,4.611887,8.60669,24.26112,17.58603,10.41308,6.97074,5.938038,6.927711,6.755594,4.130809,4.001721,3.313253,2.237521,9.466437,7.487091,16.09294,8.820998,2.022375,4.518072,.9036145,22.18953,7.831326,17.90975,18.12684,7.960396,10.56338,3.34507,16.10916,12.58803,32.65845,8.18662,11.8838,4.665493,60.9923,34.36123,24.68354,82.19854,9.195224
"25017310400",2862,1012,1205,47614,166400,799,34.400002,35.82996,3.616352,7.861635,15.8805,6.76275,9.288538,4.150198,6.818182,6.027668,4.841897,6.126482,5.335968,1.581028,9.980237,14.13043,7.509881,7.806324,5.13834,1.87747,4.743083,4.644269,25.01747,13.14229,17.22572,18.13417,16.0166,3.339882,26.91552,19.84283,6.483301,15.1277,17.68173,10.60904,0,61.079,38.72549,14.11765,84.22901,24.84277
"25017310500",3347,1190,1304,55185,216800,1059,32.700001,39.73913,3.646409,5.19337,37.8453,16.83756,6.638656,2.773109,6.386555,6.470588,11.17647,1.680672,4.789916,1.932773,3.02521,7.226891,17.39496,15.96639,4.117647,5.042017,4.285714,1.092437,18.01613,3.445378,20.09147,18.78471,8.742332,0,4.063604,21.73145,13.42756,45.40636,12.72085,2.650177,0,51.13044,35.3222,41.32653,80.63725,14.66841
"25017310601",5898,2166,2223,59301,248400,566,28.700001,37.64399,4.656863,7.738095,35.67927,29.25994,5.540166,9.325947,3.647276,6.186519,2.216067,2.908587,4.570637,6.140351,1.523546,9.141274,15.42013,5.309326,13.98892,6.325023,3.55494,4.201293,7.341472,.8310249,25.62659,13.71231,2.564103,34.59459,19.32432,4.864865,8.108109,16.75676,8.243243,8.108109,0,40.5298,53.47432,9.330144,91.15075,3.904831
"25017310602",5545,2274,2530,67019,227300,997,24.700001,34.95668,6.60323,11.36102,39.30219,27.13445,4.793316,1.363237,4.397537,7.387863,5.145119,3.078276,2.638522,5.716799,3.034301,5.101143,12.79683,18.51363,9.498681,6.46438,8.707124,1.363237,5.41028,.6156552,28.47015,13.95522,10.11858,1.963534,14.86676,6.030856,27.62973,22.01964,17.95231,9.537167,0,43.98396,44.91682,15.76577,87.943,8.320895
"25017310700",5023,1517,1653,41308,223000,880,28.200001,42.94088,2.682927,9.658537,24.09756,12.5649,9.690178,9.887937,4.68029,7.77851,6.921556,6.064601,3.493738,4.152934,2.900461,6.394199,16.21622,14.83191,2.636783,2.307185,2.043507,0,25.38324,8.635465,9.680944,23.47028,8.227466,9.310987,20.29795,10.61452,23.09125,17.50466,12.94227,6.238361,0,41.71322,44.09938,34.71074,80.34274,8.238636
"25017311100",2232,822,929,34500,198100,1140,34.5,36.38457,5.201178,6.575074,22.76742,14.15663,5.839416,9.975669,4.86618,8.150851,9.002433,13.13869,0,1.824818,6.20438,16.54501,12.89538,7.664234,2.068126,1.216545,0,.6082725,33.42294,8.272506,6.675688,30.40144,11.51776,6.296852,2.698651,11.994,9.445277,34.93253,28.93553,5.697152,0,55.93472,36,0,66.30187,24.8534
"25017311200",2524,970,1152,36154,195400,663,35.200001,40.63116,1.09152,7.892527,18.21998,10.48991,11.95876,13.29897,9.793815,3.608248,7.113402,3.608248,1.340206,9.072165,3.505155,11.85567,7.731959,6.804124,7.42268,0,1.85567,1.030928,16.1252,6.494845,11.2916,27.13946,15.79861,1.369863,36.07306,28.3105,10.9589,16.89498,5.175038,1.217656,0,56.93431,49.73822,8.510638,79.67187,16.28368
"25017311300",3265,1341,1475,49837,239500,917,27.5,32.06831,2.977233,9.340339,40.10508,24.44345,.4474273,6.413125,8.575689,3.952274,5.070843,5.891126,6.189411,9.470545,4.101417,7.158837,15.95824,16.3311,4.9217,4.623415,.8948546,0,16.17152,5.219985,17.38713,25.55235,9.084745,3.152585,1.639344,12.98865,48.80202,18.91551,13.61917,.8827238,0,44.3609,48.75346,36.26374,82.79099,12.42395
"25017311400",6456,2343,2600,49677,259000,1004,30.9,33.42017,3.075068,5.848659,27.22339,19.3895,4.780196,5.207,7.084934,8.578745,5.24968,5.24968,4.780196,1.835254,7.554418,6.017926,9.816475,17.7977,11.18225,3.670508,0,1.195049,14.46716,3.755868,13.72119,23.02023,9.884615,.7493188,4.768393,5.313352,38.62398,34.53679,4.223433,11.78474,0,50.74932,62.97521,13.33333,75.94956,25.27834
"25017311500",3349,1077,1162,42391,272800,1116,40.400002,32.1655,8.223477,20.40176,21.90835,24.05286,5.756732,5.663881,7.706593,3.528319,9.09935,4.828227,6.313835,7.428041,1.76416,12.25627,8.170845,14.20613,2.506964,1.76416,7.520891,1.485608,18.00537,7.056639,18.42105,13.78588,7.314974,0,5.694761,7.061503,17.76765,42.14123,13.43964,10.70615,3.189066,61.38829,53.83023,42.85714,90.9695,16.74641
"25017311600",5200,1924,2048,66200,264000,1002,25.1,36.49393,2.188427,9.977745,45.51187,35.36585,6.444906,5.665281,3.742204,4.93763,1.143451,.9355509,2.338877,3.742204,2.650728,13.51351,10.34304,13.56549,10.75884,7.484407,6.288981,6.444906,9.884615,3.170478,24.38884,12.64678,6.054688,20,5.076923,14.76923,10,22.15385,22.15385,5.846154,0,15.2207,25.59188,19.73684,88.43458,7.025987
"25017311700",5160,1587,1769,56250,221700,1142,29.5,40.65726,3.747073,9.32865,20.17955,12.34167,5.734089,6.364209,4.914934,5.10397,2.331443,6.553245,4.47385,2.646503,3.024575,10.96408,10.08192,21.55009,5.608066,4.662886,4.284814,1.701323,16.53101,8.254568,15.69767,15.05814,10.2883,2.059202,5.534105,7.593307,14.80052,35.13514,27.41313,7.464607,0,47.49035,49.58403,45.45454,92.56557,10.85271
"25017311800",3450,1033,1127,41336,245400,920,36.099998,33.35518,3.262519,8.421851,17.45068,11.79337,11.22943,9.293321,7.357212,4.356244,5.130687,2.613746,5.517909,8.809294,3.291384,12.87512,9.390126,8.712488,6.485963,1.355276,0,3.581801,22.72464,7.841239,9.781659,20.29112,8.340728,7.558139,14.97093,21.51163,12.2093,22.52907,17.87791,3.343023,0,56.81492,58.29787,16.83168,84.28239,9.781659
"25017311900",2139,1082,1223,23523,172600,578,27.700001,35.31179,2.990431,8.133971,27.27273,14.9475,19.4085,17.09797,9.242145,5.452865,2.957486,4.990758,2.680222,9.889094,.3696858,4.713493,7.116451,6.561923,3.604436,0,3.974122,1.94085,32.11781,9.796673,11.62006,40.54966,11.52903,25.18248,29.80535,17.15328,12.16545,7.907543,4.86618,2.919708,0,36.14744,31.65468,28.43137,81.46227,11.1379
"25017312000",3103,939,1135,50861,211000,988,30.6,36.99963,3.579952,8.432776,16.54733,9.979529,7.880724,9.265176,4.153355,2.875399,6.28328,4.898829,5.111821,3.940362,2.875399,10.86262,16.40043,18.74334,2.236422,2.662407,.5324814,1.277955,23.26781,6.389776,9.771042,20.50951,17.26872,1.442308,7.051282,18.10897,24.51923,27.72436,17.30769,3.846154,0,51.41509,57.6087,3.361345,73.73019,16.09158
"25017312100",2868,1068,1274,45484,216200,930,29,40.73107,2.465078,7.80608,20.54232,18.14231,13.10861,3.745318,3.838951,6.554307,2.621723,3.464419,6.273408,9.269663,6.460674,7.958801,11.23596,10.20599,11.61049,.4681648,2.247191,.9363296,19.3166,12.35955,10.71553,26.56195,16.16954,13.98136,10.11984,19.04128,14.64714,21.43808,9.18775,11.58455,0,45.33509,55.38462,14.89362,88.18182,13.96161
"25017312200",4894,1756,1896,62917,214400,1018,24.9,43.9284,4.450042,9.61377,31.31822,17.99058,6.548975,9.396356,6.093394,4.954442,1.594533,1.252847,1.1959,.9681093,5.125285,10.93394,13.95216,16.79955,9.111617,5.580865,6.492027,0,10.19616,5.296128,22.83787,13.06481,7.383966,0,7.668231,7.198748,32.39437,38.02817,6.885759,6.259781,1.564945,46.79186,42.44444,35.02304,86.15932,5.131875
"25017312300",5223,2095,2225,58396,197800,1114,27.1,34.38697,5.251397,12.77467,29.8324,22.33113,5.966587,3.054893,1.288783,5.536993,5.346062,4.916468,3.198091,2.195704,5.393795,16.13365,13.79475,14.79714,6.825776,6.300716,4.391408,.8591886,11.48765,2.338902,25.52154,15.32463,5.842697,0,0,4.580153,16.79389,62.59542,9.796437,4.580153,1.653944,45.6743,43.76258,7.936508,89.60913,10.72334
"25017312400",2374,964,1049,38868,249000,938,29.9,44.61538,4.709141,8.77193,19.11357,13.99067,11.09959,12.6556,6.950207,4.356846,1.037344,4.460581,14.93776,4.045643,2.385892,16.49378,10.47718,9.024897,.1037344,1.970954,0,0,22.74642,7.572614,8.576257,32.1504,8.102955,16.39566,21.27371,2.168022,19.5122,21.27371,13.14363,6.233062,0,47.17477,71.08434,0,87.70736,9.463456
"25017312501",4188,1672,1816,80081,307900,1072,28.9,38.06396,2.178649,16.60131,42.35294,39.34599,2.511962,3.947368,2.452153,2.751196,3.229665,4.186603,5.442584,6.279904,2.272727,5.861244,9.688995,16.62679,9.868421,10.94498,9.44976,4.485646,6.232092,4.366029,28.92463,11.20979,7.929515,0,4.925054,2.141328,35.33191,26.55246,14.3469,16.70236,0,46.68094,33.45196,24.86188,95.78544,6.721076
"25017312502",3869,1595,1803,73859,315200,818,30.4,35.99481,7.750473,11.0586,39.13044,46.70789,8.401254,4.702194,3.761755,2.570533,3.510972,4.200627,4.451411,2.131661,3.573668,7.335423,6.018809,12.91536,9.968652,6.833856,8.77743,10.84639,6.59085,4.263323,30.00779,11.43154,11.53633,6.136364,21.81818,19.31818,20.22727,29.54545,0,2.954545,0,50.68182,33.56562,13.60544,87.25769,11.37958
