tractid90,totalpop,households,hhfam,hhchild,pcthhchild,popu25,popuempl,ind_finance,ind_professional,pctind_finance,pctind_professional,occ_profmanage,pctocc_profmanage,college,pctcollege,inc_0_5K,inc_5K_10K,inc_10K_15K,inc_15K_20K,inc_20K_25K,inc_25K_30K,inc_30K_35K,inc_35K_40K,inc_40K_45K,inc_45K_50K,inc_50K_55K,inc_55K_60K,inc_60K_75K,inc_75K_100K,inc_100K_125K,inc_125K_150K,inc_150K_more,pctinc_0_5K,pctinc_5K_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_55K,pctinc_55K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_more,medhhincome,poverty,pctpoverty,publicassist,pctpublicassist,units,unitsocc,own,rent,pctown,pctrent,vacant,pctvacant,medianvalue,unitsrent,rent_0_300,rent_300_600,rent_600_750,rent_750_1000,rent_1000_more,pctrent_0_300,pctrent_300_600,pctrent_600_750,pctrent_750_1000,pctrent_1000_more,medianrent,incomerent_30_more,pctincomerent_30_more,medianpctincomerent,unitsmortgage,inc_mortgage_30_more,inc_nomortgage_30_more,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,popupov,popu5,sameres,pctsameres,units_newres,pctunits_newres
"25017300100",2717,892,2470,1006,37.03,1722,1425,22,293,1.54,20.56,429,30.11,340,19.75,7,9,24,24,23,24,17,16,34,24,16,53,97,176,152,101,87,.79,1.02,2.72,2.72,2.6,2.71,1.92,1.81,3.84,2.71,1.81,5.99,10.96,19.89,17.18,11.41,9.83,86889,68,2.52,34,3.84,959,892,798,94,89.46,10.54,67,6.99,236522,48,0,3,8,14,23,0,5.08,13.56,23.73,38.98,870,20,33.9,27.799999,430,125,22,22.28,3.92,2699,2498,1728,69.18,294,32.96
"25017301100",8496,2761,7886,3324,39.12,5075,4373,198,930,4.53,21.27,1422,32.52,1259,24.81,27,30,57,68,100,81,73,88,56,55,54,72,357,532,504,333,334,.96,1.06,2.02,2.41,3.55,2.87,2.59,3.12,1.99,1.95,1.91,2.55,12.66,18.87,17.87,11.81,11.84,88129,256,3.02,55,1.95,2894,2761,2301,460,83.34,16.66,133,4.6,260762,419,18,37,52,86,226,4.04,8.31,11.69,19.33,50.79,1059,206,46.29,29.299999,1583,418,71,21.34,3.62,8474,7783,5124,65.84,1066,38.61
"25017302100",5432,1905,4303,1505,28.04,3626,2597,154,473,5.93,18.21,793,30.54,759,20.93,19,22,46,52,68,64,91,84,54,99,115,87,191,340,222,162,191,1,1.15,2.42,2.73,3.57,3.36,4.77,4.41,2.84,5.19,6.03,4.56,10.02,17.83,11.64,8.5,10.02,72617,272,5.5,78,4.09,1964,1869,1306,563,69.88,30.12,95,4.84,263792,534,5,37,77,130,285,.89,6.57,13.68,23.09,50.62,1046,236,41.91,27.6,687,218,52,24.97,5.96,4941,5001,2403,48.05,987,52.8
"25017302200",686,184,728,338,46.43,382,183,15,68,8.2,37.16,22,12.02,23,6.02,0,0,0,0,0,0,4,10,14,14,20,17,23,59,17,10,0,0,0,0,0,0,0,2.12,5.29,7.4,7.4,10.58,8.99,12.17,31.22,8.99,5.29,0,67379,0,0,0,0,201,201,27,174,13.43,86.57,0,0,0,97,0,7,17,28,46,0,4.02,9.77,16.09,26.44,870,5,2.87,19.4,0,0,0,,,728,644,94,14.6,182,90.55
"25017310100",3340,1597,1797,688,20.6,2244,1179,56,247,4.75,20.95,212,17.98,467,20.81,143,154,247,221,111,82,73,64,75,58,43,31,132,65,38,28,32,8.96,9.65,15.47,13.84,6.95,5.14,4.58,4.01,4.7,3.63,2.69,1.94,8.27,4.07,2.38,1.75,2.01,21274,947,29.95,363,22.74,1898,1597,81,1516,5.07,94.93,301,15.86,0,1516,334,342,186,312,342,22.03,22.56,12.27,20.58,22.56,629,786,51.84,31.1,0,0,0,,,3162,3072,894,29.1,1089,68.19
"25017310200",6137,2165,5189,2199,35.83,3908,3140,212,683,6.75,21.75,689,21.94,519,13.28,21,35,143,115,33,73,68,72,68,56,92,93,281,456,242,116,167,.99,1.64,6.72,5.4,1.55,3.43,3.19,3.39,3.19,2.63,4.32,4.37,13.2,21.42,11.37,5.45,7.84,71565,535,8.96,211,9.91,2327,2165,1173,992,54.18,45.82,162,6.96,232779,964,22,68,117,196,561,2.22,6.85,11.79,19.76,56.55,1103,448,45.16,29.1,481,113,48,14.23,6.05,5968,5636,3256,57.77,1052,48.59
"25017310300",5695,2200,4808,1937,34.01,3524,2914,88,683,3.02,23.44,557,19.11,457,12.97,45,55,134,136,106,69,121,116,90,50,101,81,350,373,163,119,98,2.04,2.49,6.07,6.16,4.8,3.12,5.48,5.25,4.08,2.26,4.58,3.67,15.86,16.9,7.39,5.39,4.44,60018,609,10.69,169,7.66,2362,2200,1040,1160,47.27,52.73,162,6.86,198557,1123,54,103,142,238,586,4.66,8.88,12.24,20.52,50.52,1050,384,33.1,24.6,357,154,59,24.06,9.22,5695,5195,2632,50.66,1205,54.78
"25017310400",3540,1163,3111,1436,40.56,1839,1254,55,231,4.39,18.42,169,13.48,80,4.35,43,47,75,73,72,84,62,27,45,70,47,86,144,161,64,35,23,3.71,4.06,6.48,6.3,6.22,7.25,5.35,2.33,3.89,6.05,4.06,7.43,12.44,13.9,5.53,3.02,1.99,48694,894,25.45,195,16.84,1286,1163,413,750,35.51,64.49,123,9.56,182872,737,51,78,88,147,374,6.8,10.4,11.73,19.6,49.87,1030,315,42,27,183,43,28,14.29,9.3,3513,3136,1422,45.34,677,58.21
"25017310500",3396,1161,2308,894,26.33,1840,1829,129,469,7.05,25.64,377,20.61,237,12.88,57,56,47,45,34,50,80,68,55,61,58,41,107,145,110,78,76,4.88,4.79,4.02,3.85,2.91,4.28,6.84,5.81,4.71,5.22,4.96,3.51,9.15,12.4,9.41,6.67,6.5,52226,482,15.32,37,3.17,1214,1161,515,646,44.36,55.64,53,4.37,216559,636,21,51,82,138,344,3.25,7.89,12.69,21.36,53.25,1052,279,43.18,27.200001,164,36,0,10.81,0,3147,3215,1502,46.72,570,49.09
"25017310600",10441,3819,8263,3016,28.86,7165,5365,278,1452,5.18,27.06,1417,26.41,1250,17.45,69,76,135,149,153,80,145,188,118,178,171,151,448,834,395,254,304,1.79,1.98,3.51,3.87,3.97,2.08,3.77,4.89,3.07,4.62,4.44,3.92,11.64,21.67,10.27,6.6,7.9,69506,545,5.59,254,6.6,3986,3836,2053,1783,53.52,46.48,150,3.76,241512,1733,87,159,211,355,920,4.91,8.97,11.91,20.03,51.92,1046,601,33.92,24.5,977,220,51,14.81,3.43,9743,9667,4958,51.29,2165,56.44
"25017310700",4258,1452,2720,1179,28.02,2189,1760,51,493,2.9,28.01,349,19.83,299,13.66,59,68,134,124,86,67,60,97,103,49,36,40,130,146,96,40,49,4.27,4.92,9.690001,8.97,6.21,4.84,4.34,7.01,7.45,3.54,2.6,2.89,9.4,10.56,6.94,2.89,3.54,39770,981,26.21,212,15.33,1614,1430,380,1050,26.57,73.43,184,11.4,178773,1050,111,140,122,204,473,10.57,13.33,11.62,19.43,45.05,987,558,53.15,31.299999,78,23,41,14.29,25.47,3743,3947,1533,38.84,824,57.62
"25017310800",2628,373,954,408,15.23,797,956,35,246,3.66,25.73,99,10.36,58,7.27,29,31,55,45,12,27,38,23,29,13,13,22,27,33,8,7,0,7.06,7.54,13.38,10.95,2.92,6.57,9.25,5.6,7.06,3.16,3.16,5.35,6.57,8.03,1.95,1.7,0,30842,509,43.99,88,21.41,449,395,32,363,8.1,91.9,54,12.03,200518,363,35,56,67,112,93,9.64,15.43,18.46,30.85,25.62,752,177,48.76,30.799999,4,4,0,100,0,1157,2568,670,26.09,289,73.16
"25017311000",2927,1311,2144,1026,35.05,1661,705,20,165,2.84,23.4,36,5.11,66,3.97,103,131,351,301,100,47,49,55,53,22,14,19,37,27,9,8,14,7.69,9.78,26.2,22.46,7.47,3.51,3.66,4.1,3.96,1.64,1.04,1.42,2.76,2.01,.67,.6,1.04,14449,1546,52.82,577,43.06,1439,1311,30,1281,2.29,97.71,128,8.9,218698,1263,501,432,90,150,91,39.11,33.72,7.03,11.71,7.1,330,465,36.3,28.1,16,0,0,0,0,2927,2576,1157,44.91,765,58.35
"25017311100",2863,729,2783,1305,43.63,1419,798,41,180,5.14,22.56,29,3.63,24,1.69,45,47,65,65,56,41,33,48,66,35,32,13,74,44,35,17,15,6.16,6.43,8.89,8.89,7.66,5.61,4.52,6.56,9.02,4.79,4.38,1.78,10.12,6.02,4.79,2.33,2.05,37675,1228,42.05,310,42.41,836,706,133,573,18.84,81.16,130,15.55,168435,562,32,52,61,102,315,5.65,9.19,10.78,18.02,55.65,1075,339,59.89,35.099998,57,27,0,37.5,0,2920,2608,633,24.27,504,71.39
"25017311200",3323,1078,2779,1486,46.51,1582,924,58,173,6.28,18.72,128,13.85,137,8.66,119,120,126,115,65,27,23,57,45,51,22,8,103,96,60,28,22,10.97,11.06,11.61,10.6,5.99,2.49,2.12,5.25,4.14,4.7,2.03,.74,9.49,8.85,5.53,2.58,2.03,24748,1547,48.42,326,30.05,1276,1101,246,855,22.34,77.66,175,13.71,252563,834,57,91,108,181,398,6.67,10.64,12.63,21.17,46.55,1021,521,60.94,35.099998,92,15,25,10.14,16.89,3195,2812,952,33.85,770,69.94
"25017311300",3519,1251,2903,1061,30.15,2214,1610,74,341,4.6,21.18,428,26.58,447,20.19,40,38,26,34,52,41,45,55,82,60,50,56,160,171,128,63,108,3.31,3.14,2.16,2.82,4.3,3.4,3.72,4.55,6.79,4.96,4.14,4.63,13.23,14.14,10.59,5.21,8.93,62436,530,15.82,145,11.99,1414,1251,448,803,35.81,64.19,163,11.53,244899,796,19,60,106,177,434,2.39,7.54,13.32,22.24,54.52,1057,351,44.1,28.299999,175,35,6,12.68,2.17,3351,3214,1440,44.8,738,58.99
"25017311400",5394,2106,4391,1611,29.87,3317,2574,201,494,7.81,19.19,578,22.46,725,21.86,29,33,59,55,48,80,91,79,91,113,107,149,422,350,166,89,141,1.38,1.57,2.81,2.62,2.28,3.8,4.33,3.75,4.32,5.37,5.09,7.09,20.07,16.64,7.89,4.23,6.7,65072,486,9.15,171,8.13,2490,2106,716,1390,34,66,384,15.42,239552,1358,11,69,141,236,901,.8,4.99,10.2,17.06,65.15,1132,480,34.7,25.700001,432,74,35,12.19,5.77,5312,4889,1668,34.12,1547,73.46
