tractid10,totalpop,households,units,medianhhincome,medianvalue,medianrent,medianpctincomerent,pcthhchild,pctind_finance,pctind_professional,pctocc_profmanage,pctcollege,pctinc_0_5k,pctinc_5k_10k,pctinc_10k_15k,pctinc_15k_20k,pctinc_20k_25k,pctinc_25k_30k,pctinc_30k_35k,pctinc_35k_40k,pctinc_40k_45k,pctinc_45k_50k,pctinc_50k_55k,pctinc_55k_60k,pctinc_60k_75k,pctinc_75k_100k,pctinc_100k_125k,pctinc_125k_150k,pctinc_150k_more,pctpoverty,pctpublicassist,pctown,pctrent,pctvacant,pctrent_0_300,pctrent_300_600,pctrent_600_750,pctrent_750_1000,pctrent_1000_more,pctincomerent_30_more,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,pctsameres,pctunits_newres
25005610202,18.84154367446899,6.848182708024979,7.081606030464172,83850.73257326031,310125.5988499262,857.2954331176892,23.03051925061884,37.055187,7.2556267,28.518644,38.125633,28.34403,1.5842534,1.9683149,4.8007679,4.2726836,2.0643301,2.1603456,2.9284685,3.4085453,2.9764762,1.9203072,2.9284685,2.5924146,7.9212675,18.386942,11.137781,8.9294281,17.714834,3.8296282,3.5525684,69.561028,30.438978,3.7604454,13.311688,15.422077,11.850649,19.805193,39.448051,29.952457,24.940334,6.5573773,65.01059,40.520985
25009208200,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25009208400,2.293548002839088,.7975338846445084,.8153718374669552,92443.70066875871,353219.6747682487,1283.220936108862,28.52603026905708,37.927334,11.577646,30.073105,38.499485,31.560738,.697119,.92009896,2.4714308,2.3975904,1.8601556,1.2730495,1.5900701,2.9919367,3.17361,3.1334774,2.7703984,3.9229722,11.977963,16.112333,13.573157,9.5177126,21.78389,2.1649883,4.6163063,83.125374,16.87463,2.1877077,1.7439996,4.4223905,7.170403,11.914081,74.749123,42.811119,30.040924,19.079416,73.772369,27.991945
25009212100,.268084317445755,.0880784839391708,.0896180346608162,111610.9972732076,362535.9873379649,1251.000044781383,24.0000018638433,37.661507,7.3792725,24.009766,39.148129,31.675875,.36798528,.55197793,1.9779209,1.8859245,2.0239191,3.0818768,1.7939283,.55197793,.91996318,1.1499541,2.0239191,2.0699172,8.601656,14.029438,18.215271,15.225391,25.252989,1.1485567,1.74793,92.686295,7.3137074,1.7179023,15.540541,13.513515,2.7027028,4.7297301,63.513515,22.64151,24.654696,16.071428,71.151337,32.152714
25009252102,1.075819730758667,.3599585294723511,.3696475625038147,91375.99949403583,280189.9975716414,1195.999978087488,21.89999941648659,39.695869,3.9947238,19.728661,30.638779,22.106848,.40688577,.62597811,2.3787167,2.5352113,2.5352113,2.0344288,2.2848201,2.2535212,3.1924882,2.5665102,2.4100156,2.1909232,8.8888884,22.097027,16.995306,11.737089,15.399061,2.844547,3.1298904,81.99749,18.002504,2.6516306,2.9411764,4.9632354,6.4338236,10.661765,75,20.869564,27.691351,16.733068,63.900272,40.920475
25017300100,2711.196500629187,890.0931852459908,956.9458710104227,86889.20799776852,236525.8388693745,870.0905774086172,27.80071782288958,40.728992,1.5443625,20.561522,30.105671,19.745304,.78478616,1.0089817,2.6904764,2.6905441,2.5786526,2.6906242,1.905955,1.7939588,3.8113558,2.690464,1.7937496,5.9411373,10.874789,19.730864,17.040565,11.322995,9.7537613,2.5195382,3.8113499,89.460838,10.539157,6.9860477,.0020586012,6.2512364,16.664627,29.162525,47.919552,21.282911,29.069229,16.794224,69.174767,32.960602
25017301101,4418.90934535861,1436.042936652899,1505.222084611654,88128.88192114349,260759.5426148922,1058.993690472991,29.29994792222891,42.150517,4.5274997,21.266798,32.517494,24.807379,.97788823,1.0865555,2.0645285,2.4628973,3.6217773,2.9336965,2.6438997,3.1871192,2.0284193,1.992098,1.9557977,2.6080661,12.929903,19.268425,18.254141,12.060778,12.096845,3.0209587,1.992204,83.339951,16.660051,4.5959473,4.2957988,8.8304634,12.410645,20.525349,53.937748,44.7812,26.405771,18.882767,65.836105,38.608662
25017301102,4069.936610879377,1322.685535625438,1386.393044329714,88120.71527393439,260760.0593282582,1058.978400664063,29.2982456467003,42.147522,4.5280509,21.265419,32.516518,24.805107,.9778918,1.0865874,2.0647256,2.4630394,3.6217163,2.9339082,2.6449928,3.1877227,2.028897,1.9937989,1.9579375,2.60919,12.928329,19.267712,18.250647,12.05889,12.095681,3.0220363,1.9933491,83.333107,16.666889,4.5961313,4.2924962,8.8285952,12.412648,20.529158,53.937107,44.777809,26.407581,18.886103,65.827454,38.615868
25017310100,3340,1597,1898,21274.00009821345,0,629.0000029038383,31.10000103067283,38.286034,4.7497878,20.949957,17.98134,20.811052,8.9542894,9.6430807,15.466499,13.838447,6.9505324,5.1346273,4.5710707,4.007514,4.6963058,3.6318097,2.6925485,1.9411396,8.2654982,4.0701313,2.3794615,1.7532874,2.003757,29.9494,22.73012,5.07201,94.927994,15.858799,22.031662,22.559366,12.26913,20.580475,22.559366,51.846966,,,29.101563,68.190353
25017310200,6068.008255958557,2140.618118882179,2300.755448579788,71572.34173303684,232805.5778631055,1103.013180361147,29.09897863439968,42.376965,6.7504215,21.750732,21.946367,13.283839,.96976811,1.6162608,6.6035137,5.3107486,1.5246242,3.3713286,3.1405602,3.3252375,3.1408968,2.5865974,4.2487407,4.2948313,12.977697,21.062738,11.179986,5.3603325,7.716475,8.9620228,9.7435045,54.190449,45.809547,6.9602265,2.2822511,7.0536456,12.13612,20.33058,58.197403,45.157753,23.496246,15.336026,57.773869,48.588379
