tractid00,totalpop,households,hhfam,hhchild,pcthhchild,popu25,popuempl,ind_finance,ind_professional,pctind_finance,pctind_professional,inc_0_10K,inc_10K_15K,inc_15K_20K,inc_20K_25K,inc_25K_30K,inc_30K_35K,inc_35K_40K,inc_40K_45K,inc_45K_50K,inc_50K_60K,inc_60K_75K,inc_75K_100K,inc_100K_125K,inc_125K_150K,pctinc_0_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,medhhincome,publicassist,pctpublicassist,units,own,rent,pctown,pctrent,unitsocc,vacant,pctvacant,medianvalue,unitsrent,rent_0_300,rent_300_600,rent_600_800,rent_800_1000,rent_1000_1250,rent_1250_1500,rent_1500_2000,rent_2000_more,pctrent_0_300,pctrent_300_600,pctrent_600_800,pctrent_800_1000,pctrent_1000_1250,pctrent_1250_1500,pctrent_1500_2000,pctrent_2000_more,medianrent,medianpctincomerent,unitsmortgage,inc_mortgage_30_more,inc_nomortgage_30_more,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,popu5,sameres,pctsameres,units_newres,pctunits_newres,college,pctcollege,occ_profmanage,pctocc_profmanage,inc_150K_more,pctinc_150K_more,incomerent_30_more,pctincomerent_30_more,poverty
25017300100,2845,978,783,942,33.110001,1869,1520,30,96,1.97,6.3200002,22,13,20,27,26,21,43,36,36,91,72,212,157,103,2.24,1.33,2.04,2.76,2.6500001,2.1400001,4.3899999,3.6700001,3.6700001,9.29,7.3499999,21.629999,16.02,10.51,85296,8,.81999999,1011,899,79,91.919998,8.0799999,978,33,3.26,199542,55,0,12,12,13,11,5,2,0,0,21.82,21.82,23.639999,20,9.0900002,3.6400001,0,825,23.5,552,145,32,20.57,4.54,2683,2032,75.739998,250,25.57,477,25.519999,514,33.815788,101,10.31,12,19.67,143
25017301101,3869,1381,1021,1376,35.560001,2427,2035,88,201,4.3200002,9.8800001,50,28,38,34,27,16,30,50,62,107,142,286,190,132,3.6099999,2.02,2.75,2.46,1.95,1.16,2.1700001,3.6099999,4.48,7.73,10.26,20.66,13.73,9.54,83293,50,3.6099999,1419,1089,292,78.860001,21.139999,1381,38,2.6800001,213476,265,26,49,42,70,40,20,18,0,9.8100004,18.49,15.85,26.42,15.09,7.5500002,6.79,0,841,20.1000003814697,741,195,23,21.889999,2.5799999,3574,2346,65.639999,571,41.349998,790,32.549999,809,39.754299,192,13.87,64,22.610001,201
25017301102,5329,1729,1455,2121,39.759998,3274,2827,150,309,5.3099999,10.93,35,22,40,27,43,70,68,55,44,51,185,392,260,180,2.05,1.29,2.3399999,1.58,2.52,4.0999999,3.98,3.22,2.5799999,2.99,10.83,22.950001,15.22,10.54,88044,24,1.41,1765,1535,194,88.779999,11.22,1729,36,2.04,216317,160,0,14,15,48,49,21,12,1,0,8.75,9.3800001,30,30.629999,13.12,7.5,.62,866,19.7999992370605,1166,325,23,23.709999,1.6799999,4970,3776,75.980003,461,26.719999,818,24.99,1089,38.5214,239,13.99,39,20.74,263
25017302100,6303,2029,1415,1614,25.610001,4463,2824,143,348,5.0599999,12.32,85,42,40,48,63,80,94,79,70,148,223,334,265,195,4.21,2.0799999,1.98,2.3800001,3.1199999,3.97,4.6599998,3.9200001,3.47,7.3400002,11.06,16.559999,13.14,9.6700001,76514,16,.79000002,2116,1456,573,71.760002,28.24,2029,87,4.1100001,203871,547,55,107,92,95,87,50,48,12,10.05,19.559999,16.82,17.370001,15.9,9.1400003,8.7799997,2.1900001,828,21.3999996185303,810,223,18,20.65,1.67,5933,3495,58.91,911,44.900002,876,19.620001,1011,35.800282,249,12.34,121,21.34,139
25017302200,70,38,11,12,18.459999,53,23,0,0,0,0,17,9,8,7,4,0,0,0,0,0,0,0,0,0,38.639999,20.450001,18.18,15.91,9.0900002,0,0,0,0,0,0,0,0,0,3494,14,31.82,40,1,37,2.6300001,97.370003,38,2,5,304386,32,0,15,16,1,0,0,0,0,0,46.880001,50,3.1199999,0,0,0,0,656,50.0999984741211,0,0,0,0,0,65,10,15.38,32,76.190002,10,18.870001,0,0,0,0,32,100,33
25017310100,3881,1930,756,958,24.68,2577,1510,121,187,8.0100002,12.38,432,213,186,115,112,128,105,80,63,88,109,149,52,33,22.440001,11.06,9.6599998,5.9699998,5.8200002,6.6500001,5.4499998,4.1599998,3.27,4.5700002,5.6599998,7.7399998,2.7,1.71,25824,173,8.9899998,2025,147,1783,7.6199999,92.379997,1930,95,4.6900001,140965,1785,356,424,312,220,215,133,121,5,19.940001,23.75,17.48,12.32,12.04,7.4499998,6.7800002,.28,702,29.6000003814697,6,6,0,100,0,3597,1233,34.279999,1398,72.439995,435,16.880001,411,27.218542,60,3.1199999,839,47,1283
25017310200,6070,2194,1486,1888,31.1,3936,3063,97,399,3.1700001,13.03,143,71,65,66,74,82,100,83,86,248,351,406,187,123,6.4899998,3.22,2.95,2.99,3.3599999,3.72,4.54,3.76,3.9000001,11.25,15.92,18.41,8.4799995,5.5799999,63403,59,2.6800001,2288,1216,978,55.419998,44.580002,2194,94,4.1100001,166263,950,21,134,134,262,243,114,42,0,2.21,14.11,14.11,27.58,25.58,12,4.4200001,0,943,24.3999996185303,662,136,33,15.81,3.8399999,5633,2946,52.299999,1171,53.360001,828,21.039999,1072,34.998367,119,5.4000001,360,36.93,658
25017310300,6157,2329,1520,2066,33.560001,3749,2926,118,298,4.0300002,10.18,219,110,106,68,71,86,122,124,123,235,376,347,165,96,9.3400002,4.6900001,4.52,2.9000001,3.03,3.6700001,5.1999998,5.29,5.25,10.03,16.040001,14.8,7.04,4.0999999,56479,121,5.1599998,2414,1026,1303,44.049999,55.950001,2329,85,3.52,149217,1296,101,217,191,332,284,125,46,0,7.79,16.74,14.74,25.620001,21.91,9.6499996,3.55,0,897,21.5,483,134,50,19.200001,7.1599998,5658,2803,49.540001,1274,54.700001,481,12.83,730,24.948736,96,4.0999999,395,30.309999,997
25017310400,3581,1157,814,1352,37.75,1876,1389,51,137,3.6700001,9.8599997,125,61,51,62,81,101,100,53,31,89,121,138,76,42,10.81,5.2800002,4.4099998,5.3600001,7.0100002,8.7399998,8.6499996,4.5799999,2.6800001,7.6999998,10.47,11.94,6.5700002,3.6300001,39790,101,8.7399998,1209,427,730,36.91,63.09,1157,52,4.3000002,129060,707,41,110,101,221,176,54,4,0,5.8000002,15.56,14.29,31.26,24.889999,7.6399999,.56999999,0,885,27,237,92,11,27.879999,3.3299999,3263,1520,46.580002,737,63.690002,82,4.3699999,306,22.030237,25,2.1599998,281,38.599998,902
25017310500,3353,1172,693,882,26.299999,1970,1794,67,187,3.73,10.42,102,51,46,44,40,35,62,61,61,117,137,190,122,78,8.6099997,4.3099999,3.8900001,3.72,3.3800001,2.96,5.2399998,5.1500001,5.1500001,9.8800001,11.57,16.049999,10.3,6.5900002,57281,50,4.2199998,1223,516,656,44.029999,55.970001,1172,51,4.1700001,170456,631,18,80,78,168,187,85,15,0,2.8499999,12.68,12.36,26.620001,29.639999,13.47,2.3800001,0,963,24.7999992370605,240,92,27,26.82,7.8699999,3175,1471,46.330002,651,55.540001,311,15.780001,432,24.080267,37,3.1199999,227,34.5,439
