tractid10,totalpop,households,units,medianhhincome,medianvalue,medianrent,medianpctincomerent,pcthhchild,pctind_finance,pctind_professional,pctocc_profmanage,pctcollege,pctinc_0_10k,pctinc_10k_15k,pctinc_15k_20k,pctinc_20k_25k,pctinc_25k_30k,pctinc_30k_35k,pctinc_35k_40k,pctinc_40k_45k,pctinc_45k_50k,pctinc_50k_60k,pctinc_60k_75k,pctinc_75k_100k,pctinc_100k_125k,pctinc_125k_150k,pctinc_150k_more,pctpoverty,pctpublicassist,pctown,pctrent,pctvacant,pctrent_0_300,pctrent_300_600,pctrent_600_800,pctrent_800_1000,pctrent_1000_1250,pctrent_1250_1500,pctrent_1500_2000,pctrent_2000_more,pctincomerent_30_more,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,pctsameres,pctunits_newres
25005610202,20.18290519714356,7.696397304534912,7.910094738006592,88103.99932034507,285581.9899355109,774.9999712005549,23.6000002775861,121.61491,8.0568714,10.078988,43.791466,36.125908,4.3571124,2.4775736,3.5882103,3.5454934,3.5027766,3.2891927,2.3067064,3.5454934,3.8017941,4.4425459,8.7142248,13.242205,8.158906,7.7317381,27.466892,4.3166642,1.0252029,72.105942,27.894064,2.7015793,11.802233,22.328548,19.138756,17.065392,14.035088,7.3365226,7.0175438,1.4354067,35.068913,19.815666,3.2258062,60.766296,38.573257
25009208200,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25009208400,2.34711965918541,.8465351164340973,.8586301952600479,99909.25973987143,336583.6040890095,1054.295582496576,22.77991675978698,116.77861,13.271599,16.358467,46.659897,41.725269,3.0881338,1.7671211,2.5853577,2.1433921,2.2782967,2.5573287,2.1829703,1.8403748,1.9030106,5.2677951,10.246927,13.865921,12.659856,11.294657,26.020189,3.425606,1.8605283,84.890213,15.10979,1.4086483,3.1070864,8.1220722,7.4541302,25.000271,23.71945,13.212915,11.850065,7.3156185,30.05267,23.283335,7.4994884,72.078362,29.293232
25009212100,.3133795261383057,.1048514768481255,.1066341176629067,117599.0027419436,391778.9964287584,680.0000035142607,26.10000047959323,128.08472,9.1780491,13.731129,51.162231,46.813866,1.1205565,.77279752,1.7001545,1.931994,2.3570325,2.7820711,2.1251934,2.0479136,2.0479136,3.7867079,6.1051006,12.4034,14.721793,12.44204,33.384853,1.0601163,.61823803,94.397224,5.6027822,1.6717325,24.460432,25.179855,17.266188,.71942449,0,4.3165469,13.669065,13.669065,20.689655,29.571985,5.2251253,73.929527,29.173107
25009252102,.5775750875473023,.1763100773096085,.1789514273405075,108131.0014011767,281793.9934049686,1479.999967385105,17.50000026444509,146.9014,12.788104,9.6654272,44.237919,32.242126,2.247191,.99875158,0,1.7478153,1.6229714,.62421972,.62421972,.2496879,0,2.4968789,10.486892,20.599251,17.852684,14.606742,21.098627,1.6768293,0,96.629219,3.3707864,1.4760149,0,0,0,0,20.833332,29.166666,20.833332,29.166666,0,29.391304,3.1304345,76.490211,23.970037
25017300100,2838.842702746391,975.8887122273445,1008.816536903381,85295.70149446779,199543.7837121503,825.0080991586599,23.49827335222405,120.30851,1.9740158,6.3162923,33.816628,25.522631,2.2496929,1.3293473,2.045095,2.7606916,2.6583819,2.1470921,4.3963971,3.6809728,3.681102,9.304472,7.3623981,21.676746,16.052828,10.531552,10.32773,5.0263863,.81841302,91.920341,8.0796547,3.2640083,.0049807508,21.816492,21.815151,23.637774,19.997509,9.0901251,3.6379657,0,15.192494,26.268122,5.7967205,75.734695,25.56472
25017301101,3862.451297909021,1378.65674059093,1416.593284323812,83293.21929623991,213474.247611784,840.9994744725685,20.10010660924442,134.76814,4.3240566,9.8767443,39.753624,32.549648,3.6204169,2.0274408,2.7515531,2.4620163,1.9551811,1.1586876,2.1725793,3.6205716,4.4894133,7.7481771,10.282088,20.709736,13.758395,9.5583963,13.902583,5.1951222,3.6202621,78.857315,21.142687,2.6780059,9.8110104,18.490671,15.849245,26.415007,15.094496,7.5472188,6.7923532,0,21.917532,26.315784,3.1042197,65.641891,41.34515
25017301102,5329.214286386967,1729.073435649276,1765.094079464674,88038.60630021594,216310.7703124048,865.9484485541485,19.80229450370279,145.75906,5.305563,10.930392,38.51992,24.982025,2.0252743,1.2727712,2.3132968,1.5620754,2.4872782,4.0483418,3.9332669,3.1813965,2.545341,2.9522576,10.699614,22.669209,15.036822,10.410299,13.821975,4.9340487,1.3877615,88.772415,11.227582,2.0407252,.012975217,8.7647629,9.3853788,29.983303,30.605345,13.119609,7.5014057,.62698567,20.103861,27.872845,1.9729487,75.968132,26.670782
25017310100,3881,1930,2025,25824,140965,702,29.6,126.71957,8.0132446,12.384106,27.218542,16.880093,22.383419,11.036269,9.6373053,5.958549,5.8031087,6.6321244,5.4404144,4.1450777,3.2642486,4.5595856,5.6476684,7.7202072,2.6943004,1.7098446,3.1088083,33.058491,8.9637308,7.6165805,92.383423,4.6913581,19.943977,23.753502,17.478992,12.32493,12.044818,7.4509802,6.7787113,.28011206,47.055523,100,0,34.278564,72.435234
25017310200,5999.41552734375,2168.4873046875,2261.39404296875,63402.99644132141,166262.9920842309,942.9999704283954,24.39999984399179,127.0525,3.1668298,13.026445,34.998367,21.036585,6.5177751,3.2360981,2.962625,3.008204,3.3728349,3.7374659,4.5578852,3.7830443,3.919781,11.303555,15.998177,18.505013,8.5232449,5.6061983,5.423883,10.840198,2.6891522,55.423882,44.576115,4.1083918,2.2105262,14.105263,14.105263,27.578945,25.578947,11.999999,4.4210525,0,36.809814,20.543808,4.9848943,52.298954,53.372829
25017310300,6105.7412109375,2309.6103515625,2393.90283203125,56479.00181467032,149217.0017657661,896.9999926783163,21.50000056988478,135.92105,4.0328093,10.184553,24.948736,12.830088,9.4031773,4.7230573,4.5513101,2.9197083,3.0485187,3.6925721,5.2382998,5.3241735,5.2812366,10.090168,16.144268,14.899098,7.0845857,4.1219411,4.1219411,16.192951,5.195363,44.053242,55.946762,3.5211267,7.79321,16.743828,14.737654,25.617283,21.91358,9.6450615,3.5493829,0,30.314657,27.743273,10.351967,49.540474,54.701588
25017310400,3581,1157,1209,39790,129060,885,27,166.09337,3.6717062,9.8632107,22.030237,4.3710022,10.803802,5.2722559,4.4079518,5.3586864,7.0008645,8.7294731,8.6430426,4.5808125,2.6793432,7.6923075,10.458081,11.927399,6.5687122,3.6300778,2.1607606,25.188496,8.7294731,36.905792,63.094208,4.3010755,5.7991514,15.558699,14.285714,31.258841,24.893917,7.6379066,.56577086,0,38.493149,38.818565,4.6413503,46.582901,63.699223
