"Area Name-Legal/Statistical Area Description"	"Qualifying Name"	"FIPS"	"Summary Level"	"Geographic Component"	"State (Census)"	"State (FIPS)"	"County"	"County Size Code"	"County Subdivision (FIPS)"	"Census Tract"	"Families"	"Income in 1999 below poverty level"	"Income in 1999 below poverty level: Married Couple Family: With Related Child Living Bellow Poverty Level"	"Income in 1999 below poverty level: Married Couple Family: No related children under 18 years"	"Income in 1999 below poverty level: Male householder, no wife present"	"Income in 1999 below poverty level: Male householder, no wife present: With related children under 18 years"	"Income in 1999 below poverty level: Male householder, no wife present: No related children under 18 years"	"Income in 1999 below poverty level: Female householder, no husband present"	"Income in 1999 below poverty level: Female householder, no husband present: With related children under 18 years"	"Income in 1999 below poverty level: Female householder, no husband present: No related children under 18 years"	"Income in 1999 at or above poverty level"	"% Income in 1999 below poverty level"	"% Income in 1999 below poverty level: Married Couple Family: With Related Child Living Bellow Poverty Level"	"% Income in 1999 below poverty level: Married Couple Family: No related children under 18 years"	"% Income in 1999 below poverty level: Male householder, no wife present"	"% Income in 1999 below poverty level: Male householder, no wife present: With related children under 18 years"	"% Income in 1999 below poverty level: Male householder, no wife present: No related children under 18 years"	"% Income in 1999 below poverty level: Female householder, no husband present"	"% Income in 1999 below poverty level: Female householder, no husband present: With related children under 18 years"	"% Income in 1999 below poverty level: Female householder, no husband present: No related children under 18 years"	"% Income in 1999 at or above poverty level"	"Total"	"Total: Same house in 1995"	"Total: Different house in 1995"	"Total: Different house in 1995: In United States in 1995"	"Total: Different house in 1995: In United States in 1995: Same county"	"Total: Different house in 1995: In United States in 1995: Different county"	"Total: Different house in 1995: In United States in 1995: Different county: Same state"	"Total: Different house in 1995: In United States in 1995: Different county: Different state"	"Total: Different house in 1995: In United States in 1995: Different county: Different state: Northeast"	"Total: Different house in 1995: In United States in 1995: Different county: Different state: Midwest"	"Total: Different house in 1995: In United States in 1995: Different county: Different state: South"	"Total: Different house in 1995: In United States in 1995: Different county: Different state: West"	"Total: Different house in 1995: In Puerto Rico in 1995"	"Total: Different house in 1995: In Puerto Rico in 1995: Same municipio"	"Total: Different house in 1995: In Puerto Rico in 1995: Different municipio"	"Total: Different house in 1995: Elsewhere in 1995"	"Total: Different house in 1995: Elsewhere in 1995: U.S. Island Areas"	"Total: Different house in 1995: Elsewhere in 1995: Foreign country or at sea"	"% Total: Same house in 1995"	"% Total: Different house in 1995"	"% Total: Different house in 1995: In United States in 1995"	"% Total: Different house in 1995: In United States in 1995: Same county"	"% Total: Different house in 1995: In United States in 1995: Different county"	"% Total: Different house in 1995: In United States in 1995: Different county: Same state"	"% Total: Different house in 1995: In United States in 1995: Different county: Different state"	"% Total: Different house in 1995: In United States in 1995: Different county: Different state: Northeast"	"% Total: Different house in 1995: In United States in 1995: Different county: Different state: Midwest"	"% Total: Different house in 1995: In United States in 1995: Different county: Different state: South"	"% Total: Different house in 1995: In United States in 1995: Different county: Different state: West"	"% Total: Different house in 1995: In Puerto Rico in 1995"	"% Total: Different house in 1995: In Puerto Rico in 1995: Same municipio"	"% Total: Different house in 1995: In Puerto Rico in 1995: Different municipio"	"% Total: Different house in 1995: Elsewhere in 1995"	"% Total: Different house in 1995: Elsewhere in 1995: U.S. Island Areas"	"% Total: Different house in 1995: Elsewhere in 1995: Foreign country or at sea"	"Occupied housing units"	"Occupied housing units: Owner occupied"	"Occupied housing units: Owner occupied: Moved in 1999 to March 2000"	"Occupied housing units: Owner occupied: Moved in 1995 to 1998"	"Occupied housing units: Owner occupied: Moved in 1990 to 1994"	"Occupied housing units: Owner occupied: Moved in 1980 to 1989"	"Occupied housing units: Owner occupied: Moved in 1970 to 1979"	"Occupied housing units: Owner occupied: Moved in 1969 or earlier"	"Occupied housing units: Renter occupied"	"Occupied housing units: Renter occupied: Moved in 1999 to March 2000"	"Occupied housing units: Renter occupied: Moved in 1995 to 1998"	"Occupied housing units: Renter occupied: Moved in 1990 to 1994"	"Occupied housing units: Renter occupied: Moved in 1980 to 1989"	"Occupied housing units: Renter occupied: Moved in 1970 to 1979"	"Occupied housing units: Renter occupied: Moved in 1969 or earlier"	"% Occupied housing units: Owner occupied"	"% Occupied housing units: Owner occupied: Moved in 1999 to March 2000"	"% Occupied housing units: Owner occupied: Moved in 1995 to 1998"	"% Occupied housing units: Owner occupied: Moved in 1990 to 1994"	"% Occupied housing units: Owner occupied: Moved in 1980 to 1989"	"% Occupied housing units: Owner occupied: Moved in 1970 to 1979"	"% Occupied housing units: Owner occupied: Moved in 1969 or earlier"	"% Occupied housing units: Renter occupied"	"% Occupied housing units: Renter occupied: Moved in 1999 to March 2000"	"% Occupied housing units: Renter occupied: Moved in 1995 to 1998"	"% Occupied housing units: Renter occupied: Moved in 1990 to 1994"	"% Occupied housing units: Renter occupied: Moved in 1980 to 1989"	"% Occupied housing units: Renter occupied: Moved in 1970 to 1979"	"% Occupied housing units: Renter occupied: Moved in 1969 or earlier"
Geo_NAME	Geo_QName	Geo_FIPS	Geo_SUMLEV	Geo_GEOCOMP	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUNTYSC	Geo_COUSUB	Geo_TRACT	SE_T179_001	SE_T179_002	SE_T179_003	SE_T179_004	SE_T179_005	SE_T179_006	SE_T179_007	SE_T179_008	SE_T179_009	SE_T179_010	SE_T179_011	PCT_SE_T179_002	PCT_SE_T179_003	PCT_SE_T179_004	PCT_SE_T179_005	PCT_SE_T179_006	PCT_SE_T179_007	PCT_SE_T179_008	PCT_SE_T179_009	PCT_SE_T179_010	PCT_SE_T179_011	SE_T197_001	SE_T197_002	SE_T197_003	SE_T197_004	SE_T197_005	SE_T197_006	SE_T197_007	SE_T197_008	SE_T197_009	SE_T197_010	SE_T197_011	SE_T197_012	SE_T197_013	SE_T197_014	SE_T197_015	SE_T197_016	SE_T197_017	SE_T197_018	PCT_SE_T197_002	PCT_SE_T197_003	PCT_SE_T197_004	PCT_SE_T197_005	PCT_SE_T197_006	PCT_SE_T197_007	PCT_SE_T197_008	PCT_SE_T197_009	PCT_SE_T197_010	PCT_SE_T197_011	PCT_SE_T197_012	PCT_SE_T197_013	PCT_SE_T197_014	PCT_SE_T197_015	PCT_SE_T197_016	PCT_SE_T197_017	PCT_SE_T197_018	SF3_H038001	SF3_H038002	SF3_H038003	SF3_H038004	SF3_H038005	SF3_H038006	SF3_H038007	SF3_H038008	SF3_H038009	SF3_H038010	SF3_H038011	SF3_H038012	SF3_H038013	SF3_H038014	SF3_H038015	PCT_SF3_H038002	PCT_SF3_H038003	PCT_SF3_H038004	PCT_SF3_H038005	PCT_SF3_H038006	PCT_SF3_H038007	PCT_SF3_H038008	PCT_SF3_H038009	PCT_SF3_H038010	PCT_SF3_H038011	PCT_SF3_H038012	PCT_SF3_H038013	PCT_SF3_H038014	PCT_SF3_H038015
"Census Tract 3001"	"Census Tract 3001, Middlesex County, Massachusetts"	"25017300100"	"140"	"00"	"14"	"25"	"017"	"21"	""	"300100"	780	29	9	3	0	0	0	17	8	9	751	3.72	1.15	0.38	0	0	0	2.18	1.03	1.15	96.28	2683	2032	651	651	294	357	205	152	76	14	39	23	0	0	0	0	0	0	75.74	24.26	24.26	10.96	13.31	7.64	5.67	2.83	0.52	1.45	0.86	0	0	0	0	0	0	978	899	49	155	159	231	140	165	79	25	21	10	4	9	10	91.92	5.01	15.85	16.26	23.62	14.31	16.87	8.08	2.56	2.15	1.02	0.41	0.92	1.02
"Census Tract 3011.01"	"Census Tract 3011.01, Middlesex County, Massachusetts"	"25017301101"	"140"	"00"	"14"	"25"	"017"	"21"	""	"301101"	1035	36	18	9	0	0	0	9	9	0	999	3.48	1.74	0.87	0	0	0	0.87	0.87	0	96.52	3574	2346	1228	1205	703	502	337	165	119	0	20	26	0	0	0	23	0	23	65.64	34.36	33.72	19.67	14.05	9.43	4.62	3.33	0	0.56	0.73	0	0	0	0.64	0	0.64	1381	1088	73	310	187	223	190	105	293	92	96	41	46	9	9	78.78	5.29	22.45	13.54	16.15	13.76	7.6	21.22	6.66	6.95	2.97	3.33	0.65	0.65
"Census Tract 3011.02"	"Census Tract 3011.02, Middlesex County, Massachusetts"	"25017301102"	"140"	"00"	"14"	"25"	"017"	"21"	""	"301102"	1448	55	47	0	0	0	0	8	8	0	1393	3.8	3.25	0	0	0	0	0.55	0.55	0	96.2	4970	3776	1194	1138	784	354	162	192	111	5	16	60	0	0	0	56	0	56	75.98	24.02	22.9	15.77	7.12	3.26	3.86	2.23	0.1	0.32	1.21	0	0	0	1.13	0	1.13	1725	1528	65	286	258	389	333	197	197	38	72	50	9	18	10	88.58	3.77	16.58	14.96	22.55	19.3	11.42	11.42	2.2	4.17	2.9	0.52	1.04	0.58
"Census Tract 3021"	"Census Tract 3021, Middlesex County, Massachusetts"	"25017302100"	"140"	"00"	"14"	"25"	"017"	"21"	""	"302100"	1407	27	6	8	0	0	0	13	13	0	1380	1.92	0.43	0.57	0	0	0	0.92	0.92	0	98.08	5933	3495	2438	2281	1263	1018	659	359	205	51	55	48	23	0	0	134	0	134	58.91	41.09	38.45	21.29	17.16	11.11	6.05	3.46	0.86	0.93	0.81	0.39	0	0	2.26	0	2.26	2029	1454	130	375	221	287	247	194	575	132	274	107	32	30	0	71.66	6.41	18.48	10.89	14.14	12.17	9.56	28.34	6.51	13.5	5.27	1.58	1.48	0
"Census Tract 3022"	"Census Tract 3022, Middlesex County, Massachusetts"	"25017302200"	"140"	"00"	"14"	"25"	"017"	"21"	""	"302200"	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	100	65	10	55	29	9	20	20	0	0	0	0	0	0	0	0	26	0	26	15.38	84.62	44.62	13.85	30.77	30.77	0	0	0	0	0	0	0	0	40	0	40	42	10	0	0	0	0	10	0	32	0	32	0	0	0	0	23.81	0	0	0	0	23.81	0	76.19	0	76.19	0	0	0	0
"Census Tract 3101"	"Census Tract 3101, Middlesex County, Massachusetts"	"25017310100"	"140"	"00"	"14"	"25"	"017"	"21"	""	"310100"	750	259	25	21	17	17	0	196	180	16	491	34.53	3.33	2.8	2.27	2.27	0	26.13	24	2.13	65.47	3597	1233	2364	1941	1286	655	331	324	211	19	75	19	32	0	0	391	0	391	34.28	65.72	53.96	35.75	18.21	9.2	9.01	5.87	0.53	2.09	0.53	0.89	0	0	10.87	0	10.87	1930	145	39	56	21	17	0	12	1785	666	637	267	139	65	11	7.51	2.02	2.9	1.09	0.88	0	0.62	92.49	34.51	33.01	13.83	7.2	3.37	0.57
"Census Tract 3102"	"Census Tract 3102, Middlesex County, Massachusetts"	"25017310200"	"140"	"00"	"14"	"25"	"017"	"21"	""	"310200"	1481	118	40	8	0	0	0	70	70	0	1363	7.97	2.7	0.54	0	0	0	4.73	4.73	0	92.03	5633	2946	2687	2496	1865	631	226	405	214	68	54	69	36	0	0	155	0	155	52.3	47.7	44.31	33.11	11.2	4.01	7.19	3.8	1.21	0.96	1.22	0.64	0	0	2.75	0	2.75	2194	1219	167	241	153	238	94	326	975	316	447	124	44	24	20	55.56	7.61	10.98	6.97	10.85	4.28	14.86	44.44	14.4	20.37	5.65	2.01	1.09	0.91
"Census Tract 3103"	"Census Tract 3103, Middlesex County, Massachusetts"	"25017310300"	"140"	"00"	"14"	"25"	"017"	"21"	""	"310300"	1518	216	27	28	8	0	8	153	153	0	1302	14.23	1.78	1.84	0.53	0	0.53	10.08	10.08	0	85.77	5658	2803	2855	2493	1849	644	308	336	191	0	61	84	24	0	0	338	0	338	49.54	50.46	44.06	32.68	11.38	5.44	5.94	3.38	0	1.08	1.48	0.42	0	0	5.97	0	5.97	2329	1026	89	270	101	224	100	242	1303	334	581	263	88	37	0	44.05	3.82	11.59	4.34	9.62	4.29	10.39	55.95	14.34	24.95	11.29	3.78	1.59	0
"Census Tract 3104"	"Census Tract 3104, Middlesex County, Massachusetts"	"25017310400"	"140"	"00"	"14"	"25"	"017"	"21"	""	"310400"	825	199	25	16	0	0	0	158	141	17	626	24.12	3.03	1.94	0	0	0	19.15	17.09	2.06	75.88	3263	1520	1743	1614	1209	405	196	209	62	50	35	62	62	0	0	67	0	67	46.58	53.42	49.46	37.05	12.41	6.01	6.41	1.9	1.53	1.07	1.9	1.9	0	0	2.05	0	2.05	1157	429	88	94	41	79	41	86	728	220	335	110	39	11	13	37.08	7.61	8.12	3.54	6.83	3.54	7.43	62.92	19.01	28.95	9.51	3.37	0.95	1.12
