tractid00,totalpop,households,hhfam,hhchild,pcthhchild,popu25,popuempl,ind_finance,ind_professional,pctind_finance,pctind_professional,inc_0_10K,inc_10K_15K,inc_15K_20K,inc_20K_25K,inc_25K_30K,inc_30K_35K,inc_35K_40K,inc_40K_45K,inc_45K_50K,inc_50K_60K,inc_60K_75K,inc_75K_100K,inc_100K_125K,inc_125K_150K,pctinc_0_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,medhhincome,publicassist,pctpublicassist,units,own,rent,pctown,pctrent,unitsocc,vacant,pctvacant,medianvalue,unitsrent,rent_0_300,rent_300_600,rent_600_800,rent_800_1000,rent_1000_1250,rent_1250_1500,rent_1500_2000,rent_2000_more,pctrent_0_300,pctrent_300_600,pctrent_600_800,pctrent_800_1000,pctrent_1000_1250,pctrent_1250_1500,pctrent_1500_2000,pctrent_2000_more,medianrent,medianpctincomerent,unitsmortgage,inc_mortgage_30_more,inc_nomortgage_30_more,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,popu5,sameres,pctsameres,units_newres,pctunits_newres,college,pctcollege,occ_profmanage,pctocc_profmanage,inc_150K_more,pctinc_150K_more,incomerent_30_more,pctincomerent_30_more,poverty
"25017300100",2845,978,783,942,33.11,1869,1520,30,96,1.97,6.32,22,13,20,27,26,21,43,36,36,91,72,212,157,103,2.24,1.33,2.04,2.76,2.65,2.14,4.39,3.67,3.67,9.29,7.35,21.63,16.02,10.51,85296,8,.82,1011,899,79,91.92,8.08,978,33,3.26,199542,55,0,12,12,13,11,5,2,0,0,21.82,21.82,23.64,20,9.09,3.64,0,825,23.5,552,145,32,20.57,4.54,2683,2032,75.74,250,25.57,477,25.52,514,33.81579,101,10.31,12,19.67,143
"25017301101",3869,1381,1021,1376,35.56,2427,2035,88,201,4.32,9.88,50,28,38,34,27,16,30,50,62,107,142,286,190,132,3.61,2.02,2.75,2.46,1.95,1.16,2.17,3.61,4.48,7.73,10.26,20.66,13.73,9.54,83293,50,3.61,1419,1089,292,78.86,21.14,1381,38,2.68,213476,265,26,49,42,70,40,20,18,0,9.81,18.49,15.85,26.42,15.09,7.55,6.79,0,841,20.1,741,195,23,21.89,2.58,3574,2346,65.64,571,41.35,790,32.55,809,39.7543,192,13.87,64,22.61,201
"25017301102",5329,1729,1455,2121,39.76,3274,2827,150,309,5.31,10.93,35,22,40,27,43,70,68,55,44,51,185,392,260,180,2.05,1.29,2.34,1.58,2.52,4.1,3.98,3.22,2.58,2.99,10.83,22.95,15.22,10.54,88044,24,1.41,1765,1535,194,88.78,11.22,1729,36,2.04,216317,160,0,14,15,48,49,21,12,1,0,8.75,9.38,30,30.63,13.12,7.5,.62,866,19.799999,1166,325,23,23.71,1.68,4970,3776,75.98,461,26.72,818,24.99,1089,38.5214,239,13.99,39,20.74,263
"25017302100",6303,2029,1415,1614,25.61,4463,2824,143,348,5.06,12.32,85,42,40,48,63,80,94,79,70,148,223,334,265,195,4.21,2.08,1.98,2.38,3.12,3.97,4.66,3.92,3.47,7.34,11.06,16.56,13.14,9.67,76514,16,.79,2116,1456,573,71.76,28.24,2029,87,4.11,203871,547,55,107,92,95,87,50,48,12,10.05,19.56,16.82,17.37,15.9,9.14,8.78,2.19,828,21.4,810,223,18,20.65,1.67,5933,3495,58.91,911,44.9,876,19.62,1011,35.80028,249,12.34,121,21.34,139
"25017302200",70,38,11,12,18.46,53,23,0,0,0,0,17,9,8,7,4,0,0,0,0,0,0,0,0,0,38.64,20.45,18.18,15.91,9.09,0,0,0,0,0,0,0,0,0,3494,14,31.82,40,1,37,2.63,97.37,38,2,5,304386,32,0,15,16,1,0,0,0,0,0,46.88,50,3.12,0,0,0,0,656,50.099998,0,0,0,0,0,65,10,15.38,32,76.19,10,18.87,0,0,0,0,32,100,33
"25017310100",3881,1930,756,958,24.68,2577,1510,121,187,8.01,12.38,432,213,186,115,112,128,105,80,63,88,109,149,52,33,22.44,11.06,9.66,5.97,5.82,6.65,5.45,4.16,3.27,4.57,5.66,7.74,2.7,1.71,25824,173,8.99,2025,147,1783,7.62,92.38,1930,95,4.69,140965,1785,356,424,312,220,215,133,121,5,19.94,23.75,17.48,12.32,12.04,7.45,6.78,.28,702,29.6,6,6,0,100,0,3597,1233,34.28,1398,72.43999,435,16.88,411,27.21854,60,3.12,839,47,1283
"25017310200",6070,2194,1486,1888,31.1,3936,3063,97,399,3.17,13.03,143,71,65,66,74,82,100,83,86,248,351,406,187,123,6.49,3.22,2.95,2.99,3.36,3.72,4.54,3.76,3.9,11.25,15.92,18.41,8.48,5.58,63403,59,2.68,2288,1216,978,55.42,44.58,2194,94,4.11,166263,950,21,134,134,262,243,114,42,0,2.21,14.11,14.11,27.58,25.58,12,4.42,0,943,24.4,662,136,33,15.81,3.84,5633,2946,52.3,1171,53.36,828,21.04,1072,34.99837,119,5.4,360,36.93,658
"25017310300",6157,2329,1520,2066,33.56,3749,2926,118,298,4.03,10.18,219,110,106,68,71,86,122,124,123,235,376,347,165,96,9.34,4.69,4.52,2.9,3.03,3.67,5.2,5.29,5.25,10.03,16.04,14.8,7.04,4.1,56479,121,5.16,2414,1026,1303,44.05,55.95,2329,85,3.52,149217,1296,101,217,191,332,284,125,46,0,7.79,16.74,14.74,25.62,21.91,9.65,3.55,0,897,21.5,483,134,50,19.2,7.16,5658,2803,49.54,1274,54.7,481,12.83,730,24.94874,96,4.1,395,30.31,997
"25017310400",3581,1157,814,1352,37.75,1876,1389,51,137,3.67,9.86,125,61,51,62,81,101,100,53,31,89,121,138,76,42,10.81,5.28,4.41,5.36,7.01,8.74,8.65,4.58,2.68,7.7,10.47,11.94,6.57,3.63,39790,101,8.74,1209,427,730,36.91,63.09,1157,52,4.3,129060,707,41,110,101,221,176,54,4,0,5.8,15.56,14.29,31.26,24.89,7.64,.57,0,885,27,237,92,11,27.88,3.33,3263,1520,46.58,737,63.69,82,4.37,306,22.03024,25,2.16,281,38.6,902
"25017310500",3353,1172,693,882,26.3,1970,1794,67,187,3.73,10.42,102,51,46,44,40,35,62,61,61,117,137,190,122,78,8.61,4.31,3.89,3.72,3.38,2.96,5.24,5.15,5.15,9.88,11.57,16.05,10.3,6.59,57281,50,4.22,1223,516,656,44.03,55.97,1172,51,4.17,170456,631,18,80,78,168,187,85,15,0,2.85,12.68,12.36,26.62,29.64,13.47,2.38,0,963,24.799999,240,92,27,26.82,7.87,3175,1471,46.33,651,55.54,311,15.78,432,24.08027,37,3.12,227,34.5,439
