"tractid10","totalpop_90","households_90","units_90","medianhhincome_90","medianvalue_90","medianrent_90","medianpctincomerent_90","pcthhchild_90","pctind_finance_90","pctind_professional_90","pctocc_profmanage_90","pctcollege_90","pctinc_0_10k_90","pctinc_50k_60k_90","pctinc_10k_15k_90","pctinc_15k_20k_90","pctinc_20k_25k_90","pctinc_25k_30k_90","pctinc_30k_35k_90","pctinc_35k_40k_90","pctinc_40k_45k_90","pctinc_45k_50k_90","pctinc_60k_75k_90","pctinc_75k_100k_90","pctinc_100k_125k_90","pctinc_125k_150k_90","pctinc_150k_more_90","pctpoverty_90","pctpublicassist_90","pctown_90","pctrent_90","pctvacant_90","pctrent_0_300_90","pctrent_300_600_90","pctrent_600_750_90","pctrent_750_1000_90","pctrent_1000_more_90","pctincomerent_30_more_90","pctinc_mortgage_30_more_90","pctinc_nomortgage_30_more_90","pctsameres_90","pctunits_newres_90","totalpop_00","households_00","units_00","medianhhincome_00","medianvalue_00","medianrent_00","medianpctincomerent_00","pcthhchild_00","pctind_finance_00","pctind_professional_00","pctocc_profmanage_00","pctcollege_00","pctinc_0_10k_00","pctinc_10k_15k_00","pctinc_15k_20k_00","pctinc_20k_25k_00","pctinc_25k_30k_00","pctinc_30k_35k_00","pctinc_35k_40k_00","pctinc_40k_45k_00","pctinc_45k_50k_00","pctinc_50k_60k_00","pctinc_60k_75k_00","pctinc_75k_100k_00","pctinc_100k_125k_00","pctinc_125k_150k_00","pctinc_150k_more_00","pctpoverty_00","pctpublicassist_00","pctown_00","pctrent_00","pctvacant_00","pctrent_0_300_00","pctrent_300_600_00","pctrent_600_800_00","pctrent_800_1000_00","pctrent_1000_1250_00","pctrent_1250_1500_00","pctrent_1500_2000_00","pctrent_2000_more_00","pctincomerent_30_more_00","pctinc_mortgage_30_more_00","pctinc_nomortgage_30_more_00","pctsameres_00","pctunits_newres_00","totalpop_10","households_10","pcthhchild_10","pctind_info_10","pctind_finance_10","pctind_professional_10","pctocc_profmanage_10","pctcollege_10","pctinc_0_10K_10","pctinc_10K_15K_10","pctinc_15K_20K_10","pctinc_20K_25K_10","pctinc_25K_30K_10","pctinc_30K_35K_10","pctinc_35K_40K_10","pctinc_40K_45K_10","pctinc_45K_50K_10","pctinc_50K_60K_10","pctinc_60K_75K_10","pctinc_75K_100K_10","pctinc_100K_125K_10","pctinc_125K_150K_10","pctinc_150k_more_10","medhhincome_10","pctpoverty_10","pctpublicassist_10","units_10","pctown_10","pctrent_10","pctvacant_10","medianvalue_10","pctrent_0_300_10","pctrent_300_600_10","pctrent_600_800_10","pctrent_800_1000_10","pctrent_1000_1250_10","pctrent_1250_1500_10","pctrent_1500_2000_10","pctrent_2000_more_10","medianrent_10","medianpctincomerent_10","pctinc_mortgage_30_more_10","pctinc_nomortgage_30_more_10","pctsameres_10","pctunits_newres_2010_10","pctunits_newres_2000_10","pctincomerent_30_more_10"
25017300100,2711.19650062919,890.093185245991,956.945871010423,86889.2079977685,236525.838869375,870.090577408617,27.8007178228896,40.728992,1.5443625,20.561522,30.105671,19.745304,1.79376786,7.7348869,2.6904764,2.6905441,2.5786526,2.6906242,1.905955,1.7939588,3.8113558,2.690464,10.874789,19.730864,17.040565,11.322995,9.7537613,2.5195382,3.8113499,89.460838,10.539157,6.9860477,0.0020586012,6.2512364,16.664627,29.162525,47.919552,21.282911,29.069229,5.1161518,69.174767,32.960602,2838.84270274639,975.888712227345,1008.81653690338,85295.7014944678,199543.78371215,825.00809915866,23.4982733522241,120.30851,1.9740158,6.3162923,33.816628,25.522631,2.2496929,1.3293473,2.045095,2.7606916,2.6583819,2.1470921,4.3963971,3.6809728,3.681102,9.304472,7.3623981,21.676746,16.052828,10.531552,10.32773,5.0263863,0.81841302,91.920341,8.0796547,3.2640083,0.0049807508,21.816492,21.815151,23.637774,19.997509,9.0901251,3.6379657,0,15.192494,26.268122,5.7967205,75.734695,25.56472,3066,1066,28.9,0.99,2.98,8.93,39.55,27.68,2.63,1.97,2.25,3.19,5.53,4.13,3.38,2.25,6.29,6.66,11.35,17.26,13.6,5.72,13.79,76189.35,3.522505,3.94,1157,95.59,4.41,7.87,264216,0,0,36.36,0,11.36,38.64,13.64,0,1277.65,30.299999,32.48,5.69,92.39,4.500978,41.03066,48.94
25017301101,4418.90934535861,1436.0429366529,1505.22208461165,88128.8819211435,260759.542614892,1058.99369047299,29.2999479222289,42.150517,4.5274997,21.266798,32.517494,24.807379,2.06444373,4.5638638,2.0645285,2.4628973,3.6217773,2.9336965,2.6438997,3.1871192,2.0284193,1.992098,12.929903,19.268425,18.254141,12.060778,12.096845,3.0209587,1.992204,83.339951,16.660051,4.5959473,4.2957988,8.8304634,12.410645,20.525349,53.937748,44.7812,26.405771,4.4852052,65.836105,38.608662,3862.45129790902,1378.65674059093,1416.59328432381,83293.2192962399,213474.247611784,840.999474472569,20.1001066092444,134.76814,4.3240566,9.8767443,39.753624,32.549648,3.6204169,2.0274408,2.7515531,2.4620163,1.9551811,1.1586876,2.1725793,3.6205716,4.4894133,7.7481771,10.282088,20.709736,13.758395,9.5583963,13.902583,5.1951222,3.6202621,78.857315,21.142687,2.6780059,9.8110104,18.490671,15.849245,26.415007,15.094496,7.5472188,6.7923532,0,21.917532,26.315784,3.1042197,65.641891,41.34515,1004,467,25,1.76,0,16.24,32.48,23.84,13.06,3,4.71,0,4.93,8.57,4.93,2.36,0,13.92,16.7,16.06,6.85,0,4.93,54698.57,11.42568,0,467,58.24,41.76,0,220584,14.44,0,43.32,25.13,0,12.83,4.28,0,748.41,24,41.18,0,85.96,2.59481,46.40718,26.16
25017301101,4418.90934535861,1436.0429366529,1505.22208461165,88128.8819211435,260759.542614892,1058.99369047299,29.2999479222289,42.150517,4.5274997,21.266798,32.517494,24.807379,2.06444373,4.5638638,2.0645285,2.4628973,3.6217773,2.9336965,2.6438997,3.1871192,2.0284193,1.992098,12.929903,19.268425,18.254141,12.060778,12.096845,3.0209587,1.992204,83.339951,16.660051,4.5959473,4.2957988,8.8304634,12.410645,20.525349,53.937748,44.7812,26.405771,4.4852052,65.836105,38.608662,3862.45129790902,1378.65674059093,1416.59328432381,83293.2192962399,213474.247611784,840.999474472569,20.1001066092444,134.76814,4.3240566,9.8767443,39.753624,32.549648,3.6204169,2.0274408,2.7515531,2.4620163,1.9551811,1.1586876,2.1725793,3.6205716,4.4894133,7.7481771,10.282088,20.709736,13.758395,9.5583963,13.902583,5.1951222,3.6202621,78.857315,21.142687,2.6780059,9.8110104,18.490671,15.849245,26.415007,15.094496,7.5472188,6.7923532,0,21.917532,26.315784,3.1042197,65.641891,41.34515,2967,1073,34.34,0.58,3.87,9.43,42.35,30.95,4.66,1.3,0.75,2.98,0,0,4.29,6.71,2.89,6.43,15.1,18.55,15.94,7.18,13.24,82378.63,3.033367,0,1123,90.12,9.88,4.45,279568,13.21,0,32.08,8.49,19.81,0,26.42,0,965.56,28.1,34.33,2.38,96.23,6.403775,50.48871,37.74
25017301102,4069.93661087938,1322.68553562544,1386.39304432971,88120.7152739344,260760.059328258,1058.97840066406,29.2982456467003,42.147522,4.5280509,21.265419,32.516518,24.805107,2.0644792,4.5671275,2.0647256,2.4630394,3.6217163,2.9339082,2.6449928,3.1877227,2.028897,1.9937989,12.928329,19.267712,18.250647,12.05889,12.095681,3.0220363,1.9933491,83.333107,16.666889,4.5961313,4.2924962,8.8285952,12.412648,20.529158,53.937107,44.777809,26.407581,4.4862328,65.827454,38.615868,5329.21428638697,1729.07343564928,1765.09407946467,88038.6063002159,216310.770312405,865.948448554149,19.8022945037028,145.75906,5.305563,10.930392,38.51992,24.982025,2.0252743,1.2727712,2.3132968,1.5620754,2.4872782,4.0483418,3.9332669,3.1813965,2.545341,2.9522576,10.699614,22.669209,15.036822,10.410299,13.821975,4.9340487,1.3877615,88.772415,11.227582,2.0407252,0.012975217,8.7647629,9.3853788,29.983303,30.605345,13.119609,7.5014057,0.62698567,20.103861,27.872845,1.9729487,75.968132,26.670782,5010,1734,34.21,1.95,3.54,9.98,44.59,32.38,3.11,0.75,1.04,1.61,3.86,3.69,1.04,1.56,1.04,4.15,16.96,17.3,13.44,10.5,19.95,91115.13,4.080816,1.79,1856,90.25,9.75,6.57,278053,0,7.1,3.87,41.94,14.19,14.84,12.26,5.81,989.8,24.200001,24.6,2.88,90.53,5.688623,41.15768,35.5
25017310100,3340,1597,1898,21274.0000982135,0,629.000002903838,31.1000010306728,38.286034,4.7497878,20.949957,17.98134,20.811052,18.5973701,4.6336881,15.466499,13.838447,6.9505324,5.1346273,4.5710707,4.007514,4.6963058,3.6318097,8.2654982,4.0701313,2.3794615,1.7532874,2.003757,29.9494,22.73012,5.07201,94.927994,15.858799,22.031662,22.559366,12.26913,20.580475,22.559366,51.846966,,,29.101563,68.190353,3881,1930,2025,25824,140965,702,29.6,126.71957,8.0132446,12.384106,27.218542,16.880093,22.383419,11.036269,9.6373053,5.958549,5.8031087,6.6321244,5.4404144,4.1450777,3.2642486,4.5595856,5.6476684,7.7202072,2.6943004,1.7098446,3.1088083,33.058491,8.9637308,7.6165805,92.383423,4.6913581,19.943977,23.753502,17.478992,12.32493,12.044818,7.4509802,6.7787113,0.28011206,47.055523,100,0,34.278564,72.435234,4773,2462,20.11,6.58,5.17,19.48,47.28,34.74,11.9,11.49,3.45,7.84,4.67,7.68,6.86,5.85,3.98,3.53,11.13,9.3,3.41,3.66,5.24,37807.33,27.62868,7.88,2902,24.45,75.55,15.16,174225,11.34,11.4,11.13,29.35,18.71,8.39,6.18,3.49,915.06,33.400002,24.09,0,75.38,23.38837,94.6166,61.99
25017310200,6068.00825595856,2140.61811888218,2300.75544857979,71572.3417330368,232805.577863106,1103.01318036115,29.0989786343997,42.376965,6.7504215,21.750732,21.946367,13.283839,2.58602891,8.543572,6.6035137,5.3107486,1.5246242,3.3713286,3.1405602,3.3252375,3.1408968,2.5865974,12.977697,21.062738,11.179986,5.3603325,7.716475,8.9620228,9.7435045,54.190449,45.809547,6.9602265,2.2822511,7.0536456,12.13612,20.33058,58.197403,45.157753,23.496246,9.9752235,57.773869,48.588379,5999.41552734375,2168.4873046875,2261.39404296875,63402.9964413214,166262.992084231,942.999970428395,24.3999998439918,127.0525,3.1668298,13.026445,34.998367,21.036585,6.5177751,3.2360981,2.962625,3.008204,3.3728349,3.7374659,4.5578852,3.7830443,3.919781,11.303555,15.998177,18.505013,8.5232449,5.6061983,5.423883,10.840198,2.6891522,55.423882,44.576115,4.1083918,2.2105262,14.105263,14.105263,27.578945,25.578947,11.999999,4.4210525,0,36.809814,20.543808,4.9848943,52.298954,53.372829,6604,2298,28.86,0.84,4.55,11.05,31.06,19.15,3.83,3.79,2.61,2.52,2.52,2.18,2.92,5.74,4.4,13.75,12.18,20.54,10.66,4.35,8.01,68343.67,5.728441,1.13,2372,67.36,32.64,3.12,233916,0,4.83,24.03,24.03,27.76,10.08,9.25,0,963.54,22.700001,30.36,2.84,79.33,4.529941,62.89172,33.06
25017310300,5657.75226211548,2185.3359618187,2346.11174583435,60043.8724961393,198700.695411909,1050.04175299963,24.6000788658574,40.281105,3.0205722,23.42906,19.118799,12.969357,4.5426037,8.2679186,6.0879431,6.1786056,4.8154445,3.1352029,5.4969773,5.2708435,4.0910001,2.2730098,15.903193,16.957811,7.4194837,5.413147,4.4637074,10.680409,7.6790404,47.317543,52.682457,6.8535657,4.8092203,9.1716948,12.643099,21.190468,52.185886,33.105679,43.071247,16.518885,50.687077,54.743393,6105.7412109375,2309.6103515625,2393.90283203125,56479.0018146703,149217.001765766,896.999992678316,21.5000005698848,135.92105,4.0328093,10.184553,24.948736,12.830088,9.4031773,4.7230573,4.5513101,2.9197083,3.0485187,3.6925721,5.2382998,5.3241735,5.2812366,10.090168,16.144268,14.899098,7.0845857,4.1219411,4.1219411,16.192951,5.195363,44.053242,55.946762,3.5211267,7.79321,16.743828,14.737654,25.617283,21.91358,9.6450615,3.5493829,0,30.314657,27.743273,10.351967,49.540474,54.701588,6458,2324,32.58,0.45,4.61,8.61,24.27,17.58,10.41,6.97,5.94,6.93,6.76,4.13,4,3.31,2.24,9.47,7.49,16.09,8.82,2.02,5.42,49723.31,22.37315,7.83,2525,49.7,50.3,7.96,200990,10.56,3.35,16.11,12.59,32.66,8.19,11.88,4.67,1067.57,40.5,20.26,10.13,82.2,9.195224,70.70863,60.99
25017310400,3540,1163,1286,48694.0002267491,182872.000851564,1030.00000479631,27,46.158791,4.3859649,18.421053,13.476874,4.3501902,7.7386071,11.4359417,6.4488392,6.2768703,6.1908855,7.2227001,5.3310404,2.3215821,3.8693035,6.0189166,12.381771,13.843508,5.5030093,3.0094583,1.977644,25.448336,16.766981,35.511608,64.488396,9.5645409,6.9199457,10.583447,11.940298,19.945726,50.746269,42,23.497269,15.300547,45.344387,58.211521,3581,1157,1209,39790,129060,885,27,166.09337,3.6717062,9.8632107,22.030237,4.3710022,10.803802,5.2722559,4.4079518,5.3586864,7.0008645,8.7294731,8.6430426,4.5808125,2.6793432,7.6923075,10.458081,11.927399,6.5687122,3.6300778,2.1607606,25.188496,8.7294731,36.905792,63.094208,4.3010755,5.7991514,15.558699,14.285714,31.258841,24.893917,7.6379066,0.56577086,0,38.493149,38.818565,4.6413503,46.582901,63.699223,2862,1012,30.92,3.38,3.62,7.86,15.88,6.76,9.29,4.15,6.82,6.03,4.84,6.13,5.34,1.58,9.98,14.13,7.51,7.81,5.14,1.88,9.38,48090.14,25.04372,13.14,1205,48.72,51.28,16.02,168064,3.34,26.92,19.84,6.48,15.13,17.68,10.61,0,806.99,34.400002,32.05,2.43,84.23,24.84277,72.57162,61.08
25017310500,3377.21972036362,1154.6662529707,1207.35639107227,52262.1531721003,216654.807755226,1052.03489713462,27.1982943351862,38.731823,7.0477481,25.631813,20.613468,12.881661,9.7222801,8.5222661,4.0486498,3.8765638,2.9289005,4.3037357,6.8856416,5.8543611,4.7363758,5.249723,9.2211065,12.499206,9.4810429,6.7200832,6.5513492,15.297174,3.1913075,44.40448,55.595524,4.3647628,3.3034987,8.0195131,12.891525,21.695375,54.090416,43.183582,21.967974,0.059792418,46.742348,49.077114,3329.52807617188,1163.79565429688,1214.43872070312,57281.0015841917,170455.994527287,963.000009985146,24.7999997662171,127.27273,3.7346711,10.423635,24.080267,15.786801,8.7030716,4.3515358,3.9249146,3.7542665,3.4129694,2.9863482,5.2901025,5.2047782,5.2047782,9.9829359,11.689421,16.211605,10.409556,6.6552901,3.1569967,13.092752,4.2662115,44.027306,55.972698,4.1700735,2.8526149,12.678288,12.361331,26.624407,29.6355,13.470681,2.3771791,0,34.603657,38.333332,11.25,46.330708,55.546074,3347,1190,27.31,1.1,3.65,5.19,37.85,16.84,6.64,2.77,6.39,6.47,11.18,1.68,4.79,1.93,3.03,7.23,17.39,15.97,4.12,5.04,5.38,55736.85,19.64169,3.45,1304,51.68,48.32,8.74,218968,0,4.06,21.73,13.43,45.41,12.72,2.65,0,1069.59,32.700001,24.07,13.17,80.64,14.66841,63.1493,51.13
25017310601,7035.1445043087,2573.19084894657,2685.69086331129,69519.5649490072,241529.174759047,1046.00804114578,24.4991516324371,36.500103,5.1805754,27.057644,26.411566,17.442862,3.7964783,8.4305136,3.533962,3.9005241,4.0058188,2.0952191,3.7953749,4.9199028,3.0891182,4.6600623,11.729589,21.838966,10.34813,6.6533613,7.9616842,5.592299,6.6484756,53.536907,46.463093,3.7630403,5.0212436,9.1754971,12.175039,20.484049,53.086456,33.704853,22.530687,5.2216339,51.295624,56.430199,5382.41710698605,1912.59173679352,1938.56030708551,70952.0144062584,201193.928162394,848.088492805814,22.2012869875204,121.75219,4.8925033,8.1779041,32.037861,19.943018,6.2598553,3.0782866,2.7673891,4.5904374,3.9649916,2.2452853,4.4867568,3.7574949,3.7057395,9.5479946,7.5204287,16.283756,11.953785,8.1453762,12.006407,5.3584452,2.1389956,57.380592,42.619408,1.3395803,6.5747023,17.484972,16.119892,30.90346,21.71837,5.7089324,1.3656152,0.12402122,22.157061,28.792507,7.0194607,48.888325,56.758751,5898,2166,29.37,2.35,4.66,7.74,35.68,29.25,5.54,9.33,3.65,6.19,2.22,2.91,4.57,6.14,1.52,9.14,15.42,5.31,13.99,6.33,7.75,59894.01,7.854163,0.83,2223,65.14,34.86,2.56,250884,34.59,19.32,4.86,8.11,16.76,8.24,8.11,0,571.66,28.700001,37.63,2.76,91.15,3.904831,63.3854,40.53
