RegionName,City,State,Metro,CountyName,X2010.02,X2010.03,X2010.04,X2010.05,X2010.06,X2010.07,X2010.08,X2010.09,X2010.10,X2010.11,X2010.12,X2011.01,X2011.02,X2011.03,X2011.04,X2011.05,X2011.06,X2011.07,X2011.08,X2011.09,X2011.10,X2011.11,X2011.12,X2012.01,X2012.02,X2012.03,X2012.04,X2012.05,X2012.06,X2012.07,X2012.08,X2012.09,X2012.10,X2012.11,X2012.12,X2013.01,X2013.02,X2013.03,X2013.04,X2013.05,X2013.06,X2013.07,X2013.08,X2013.09,X2013.10,X2013.11,X2013.12,X2014.01,X2014.02,X2014.03
South Dorchester,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,1795,1795,1795,1795,1600,1575,1650,1750,1650,1600,1675,1600,1600,1600,1595,1550,1550,1550,1570,1600,1650,1700,1600,1600,1650,1920,1900,1845,1845,1750,1750,1750,1705,1775,1785,1700,1705,1750,1770,1775,1750,1700,1750,1700
Roxbury,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1650,1600,1900,1900,1700,1600,1500,1610,1690,1650,1625,1600,1650,1650,1675,1700,1800,1800,1800,1785,1800,1800,1835,1800,1900,1950,1900,1900,1950,1950,1950,2085,2055,1945,1800,1800,1850,1900,2100,2200
Brighton,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,1750,1800,1750,1700,1665,1650,1650,1700,1750,1975,1800,1800,1800,1800,1895,1850,1900,1950,1800,1800,1825,2050,1750,2100,2000,1950,1950,1950,1980,1980,1995,1995,1950,1950,1995,1995,1950,1995,2000,2025
East Boston,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400,1500,1300,1300,1400,1500,1400,1400,1435,1400,1400,1350,1300,1400,1550,1500,1750,1750,1700,1600,1500,1599,1600,1600,1600,1600,1650,1675,1700,1900,1800,1950,1900,1975,1800,1800,1800,1800,1900,1950
Mattapan,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,NA,1500,1420,NA,1420,1400,1750,1750,1600,1550,1550,1550,1550,1450,1500,1600,1620,1650,1600,1600,1700,1600,1700,1550,1550,1535,1550,1650,1680,1680,1700,1700,1790,1790,1750,1765,1790,1700,1700,1620,1565,1675,1650,1700
South Boston,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,2545,2545,2545,2545,2295,2295,2135,2165,2200,2296,2200,2400,2350,2400,2300,2406,2400,2650,2650,2500,2500,2700,2625,2650,2680,2700,2650,2737,2700,2700,2686,2676,2700,2800,2850,2850,2750,2700,2700,2600,2700,2750,2750,2760
Hyde Park,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400,2100,2200,1650,1650,1500,1859,1859,1650,1400,1400,1759,1300,1350,1400,1475,1750,1500,1500,1500,1450,1500,1500,1450,1500,1550,1395,1350,1500,1729,1800,1950,2000,1850,1900,1800,1600,1700,1800
Roslindale,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1570,1350,1400,1400,1400,1450,1450,1600,1600,1600,1540,1600,1500,1450,1600,1650,1800,1800,1825,1700,1700,1800,1800,1800,1600,1600,1650,1900,1950,1800,1800,1995,1995,1900,1850,1850,1850,1800,1850,1900
West Roxbury,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1630,1650,1820,1795,1800,1735,1700,1735,1800,1685,1650,1660,1650,1735,1685,1825,1950,2065,1850,1830,1775,1725,1725,1725,1725,1715,1800,1850,1725,1710,1850,1850,1900,1880,1860,1775,1800,1795,1800,1890
South End,Boston,MA,Boston,Suffolk,NA,NA,NA,NA,NA,NA,2200,2200,2200,2200,2400,2400,2550,2400,2260,2300,2350,2400,2400,2450,2400,2450,2400,2450,2450,2500,2450,2500,2595,2600,2600,2600,2600,2600,2700,2700,2600,2600,2650,2700,2800,2800,2800,2800,2800,2850,2850,2900,2950,2850
