"","RegionName","City","State","Metro","CountyName","X2010.02","X2010.03","X2010.04","X2010.05","X2010.06","X2010.07","X2010.08","X2010.09","X2010.10","X2010.11","X2010.12","X2011.01","X2011.02","X2011.03","X2011.04","X2011.05","X2011.06","X2011.07","X2011.08","X2011.09","X2011.10","X2011.11","X2011.12","X2012.01","X2012.02","X2012.03","X2012.04","X2012.05","X2012.06","X2012.07","X2012.08","X2012.09","X2012.10","X2012.11","X2012.12","X2013.01","X2013.02","X2013.03","X2013.04","X2013.05","X2013.06","X2013.07","X2013.08","X2013.09","X2013.10","X2013.11","X2013.12","X2014.01","X2014.02","X2014.03"
"1","South Dorchester","Boston","MA","Boston","Suffolk",NA,NA,NA,NA,NA,NA,1920.65,1920.65,1920.65,1920.65,1712,1638,1716,1820,1716,1664,1742,1664,1664,1664,1658.8,1612,1612,1565.5,1585.7,1616,1666.5,1717,1616,1616,1666.5,1939.2,1919,1863.45,1863.45,1750,1750,1750,1705,1775,1785,1700,1705,1750,1770,1775,1750,1683,1732.5,1683
"2","Roxbury","Boston","MA","Boston","Suffolk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1765.5,1664,1976,1976,1768,1664,1560,1674.4,1757.6,1716,1690,1664,1716,1666.5,1691.75,1717,1818,1818,1818,1802.85,1818,1818,1853.35,1818,1919,1950,1900,1900,1950,1950,1950,2085,2055,1945,1800,1800,1850,1881,2079,2178
"3","Brighton","Boston","MA","Boston","Suffolk",NA,NA,NA,NA,NA,NA,NA,NA,2140,NA,1872.5,1872,1820,1768,1731.6,1716,1716,1768,1820,2054,1872,1872,1872,1818,1913.95,1868.5,1919,1969.5,1818,1818,1843.25,2070.5,1767.5,2121,2020,1950,1950,1950,1980,1980,1995,1995,1950,1950,1995,1995,1950,1975.05,1980,2004.75
"4","East Boston","Boston","MA","Boston","Suffolk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498,1560,1352,1352,1456,1560,1456,1456,1492.4,1456,1456,1404,1352,1414,1565.5,1515,1767.5,1767.5,1717,1616,1515,1614.99,1616,1616,1616,1600,1650,1675,1700,1900,1800,1950,1900,1975,1800,1800,1800,1782,1881,1930.5
"5","Mattapan","Boston","MA","Boston","Suffolk",NA,NA,NA,NA,NA,NA,NA,1605,1519.4,NA,1519.4,1456,1820,1820,1664,1612,1612,1612,1612,1508,1560,1664,1684.8,1666.5,1616,1616,1717,1616,1717,1565.5,1565.5,1550.35,1565.5,1666.5,1696.8,1680,1700,1700,1790,1790,1750,1765,1790,1700,1700,1620,1565,1658.25,1633.5,1683
"6","South Boston","Boston","MA","Boston","Suffolk",NA,NA,NA,NA,NA,NA,2723.15,2723.15,2723.15,2723.15,2455.65,2386.8,2220.4,2251.6,2288,2387.84,2288,2496,2444,2496,2392,2502.24,2496,2676.5,2676.5,2525,2525,2727,2651.25,2676.5,2706.8,2727,2676.5,2764.37,2727,2700,2686,2676,2700,2800,2850,2850,2750,2700,2700,2600,2700,2722.5,2722.5,2732.4
"7","Hyde Park","Boston","MA","Boston","Suffolk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1456,2184,2288,1716,1716,1560,1933.36,1933.36,1716,1456,1456,1829.36,1313,1363.5,1414,1489.75,1767.5,1515,1515,1515,1464.5,1515,1515,1464.5,1500,1550,1395,1350,1500,1729,1800,1950,2000,1850,1900,1800,1584,1683,1782
"8","Roslindale","Boston","MA","Boston","Suffolk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1679.9,1404,1456,1456,1456,1508,1508,1664,1664,1664,1601.6,1664,1560,1464.5,1616,1666.5,1818,1818,1843.25,1717,1717,1818,1818,1818,1616,1600,1650,1900,1950,1800,1800,1995,1995,1900,1850,1850,1850,1782,1831.5,1881
"9","West Roxbury","Boston","MA","Boston","Suffolk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1744.1,1716,1892.8,1866.8,1872,1804.4,1768,1804.4,1872,1752.4,1716,1726.4,1716,1752.35,1701.85,1843.25,1969.5,2085.65,1868.5,1848.3,1792.75,1742.25,1742.25,1742.25,1742.25,1715,1800,1850,1725,1710,1850,1850,1900,1880,1860,1775,1800,1777.05,1782,1871.1
"10","South End","Boston","MA","Boston","Suffolk",NA,NA,NA,NA,NA,NA,2354,2354,2354,2354,2568,2496,2652,2496,2350.4,2392,2444,2496,2496,2548,2496,2548,2496,2474.5,2474.5,2525,2474.5,2525,2620.95,2626,2626,2626,2626,2626,2727,2700,2600,2600,2650,2700,2800,2800,2800,2800,2800,2850,2850,2871,2920.5,2821.5
